WRKCOUNT,TRIPPURP,HHSIZE,NWALKTRP,HHFAMINC2,TIMETOWK,WHYFROM,WKFMHMXX,WEBUSE,WHYTRP1S,WRKTRANS,WHYTO,HOUSEID,URBRUR,DRIVER,NBIKETRP,HHFAMINC,R_AGE,PERSONID,CNTTDTR,GCDWORK
0,NHB,1,3,VeryLow,-1,BuyGoods,Skip,OnceMonth,Family,Skip,AttorneyAccountant,10004007,Urban,Yes,0,10K-15K,77,1,10,-1
0,NHB,1,3,VeryLow,-1,AttorneyAccountant,Skip,OnceMonth,Shopping,Skip,BuyGoods,10004007,Urban,Yes,0,10K-15K,77,1,10,-1
0,NHB,1,3,VeryLow,-1,BuyGoods,Skip,OnceMonth,Shopping,Skip,BuyGoods,10004007,Urban,Yes,0,10K-15K,77,1,10,-1
0,NHB,1,3,VeryLow,-1,BuyGoods,Skip,OnceMonth,Shopping,Skip,BuyGoods,10004007,Urban,Yes,0,10K-15K,77,1,10,-1
0,NHB,1,3,VeryLow,-1,BuyGoods,Skip,OnceMonth,EatMeal,Skip,GetMeal,10004007,Urban,Yes,0,10K-15K,77,1,10,-1
0,NHB,1,3,VeryLow,-1,GetMeal,Skip,OnceMonth,ServePassenger,Skip,DropSomeoneOff,10004007,Urban,Yes,0,10K-15K,77,1,10,-1
0,HBO,1,3,VeryLow,-1,DropSomeoneOff,Skip,OnceMonth,ReturnHome,Skip,Home,10004007,Urban,Yes,0,10K-15K,77,1,10,-1
0,HBO,1,3,VeryLow,-1,Home,Skip,OnceMonth,Other,Skip,Other,10004007,Urban,Yes,0,10K-15K,77,1,10,-1
0,HBO,1,3,VeryLow,-1,Other,Skip,OnceMonth,ReturnHome,Skip,Home,10004007,Urban,Yes,0,10K-15K,77,1,10,-1
2,HBSHOP,3,2,High,3,Home,OnceMonthMore,SeveralWeek,Shopping,Other,BuyGas,10007334,Urban,Yes,0,75K-80K,56,1,7,1
2,NHB,3,2,High,3,BuyGas,OnceMonthMore,SeveralWeek,WorkRelated,Other,OtherWorkRelated,10007334,Urban,Yes,0,75K-80K,56,1,7,1
2,NHB,3,2,High,3,OtherWorkRelated,OnceMonthMore,SeveralWeek,ToWork,Other,GoToWork,10007334,Urban,Yes,0,75K-80K,56,1,7,1
2,NHB,3,2,High,3,GoToWork,OnceMonthMore,SeveralWeek,Family,Other,BuyService,10007334,Urban,Yes,0,75K-80K,56,1,7,1
2,NHB,3,2,High,3,BuyService,OnceMonthMore,SeveralWeek,Shopping,Other,BuyGoods,10007334,Urban,Yes,0,75K-80K,56,1,7,1
2,NHB,3,2,High,3,BuyGoods,OnceMonthMore,SeveralWeek,ReturnWork,Other,ReturnToWork,10007334,Urban,Yes,0,75K-80K,56,1,7,1
2,HBW,3,2,High,3,ReturnToWork,OnceMonthMore,SeveralWeek,ReturnHome,Other,Home,10007334,Urban,Yes,0,75K-80K,56,1,7,1
2,HBO,3,0,High,35,Home,Skip,OnceWeek,Other,Car,SchoolOrReligiousActivity,10007334,Urban,Yes,0,75K-80K,45,2,6,6
2,HBO,3,0,High,35,SchoolOrReligiousActivity,Skip,OnceWeek,ReturnHome,Car,Home,10007334,Urban,Yes,0,75K-80K,45,2,6,6
2,HBW,3,0,High,35,Home,Skip,OnceWeek,ToWork,Car,GoToWork,10007334,Urban,Yes,0,75K-80K,45,2,6,6
2,HBW,3,0,High,35,GoToWork,Skip,OnceWeek,ReturnHome,Car,Home,10007334,Urban,Yes,0,75K-80K,45,2,6,6
2,HBO,3,0,High,35,Home,Skip,OnceWeek,ServePassenger,Car,PickUpSomeone,10007334,Urban,Yes,0,75K-80K,45,2,6,6
2,HBO,3,0,High,35,PickUpSomeone,Skip,OnceWeek,ReturnHome,Car,Home,10007334,Urban,Yes,0,75K-80K,45,2,6,6
2,HBO,3,-1,High,-1,Home,Skip,Skip,School,Skip,GoSchoolAsStudent,10007334,Urban,No,-1,75K-80K,15,3,4,-1
2,NHB,3,-1,High,-1,GoSchoolAsStudent,Skip,Skip,School,Skip,GoSchoolAsStudent,10007334,Urban,No,-1,75K-80K,15,3,4,-1
2,NHB,3,-1,High,-1,GoSchoolAsStudent,Skip,Skip,ServePassenger,Skip,TransportSomeone,10007334,Urban,No,-1,75K-80K,15,3,4,-1
2,HBO,3,-1,High,-1,TransportSomeone,Skip,Skip,ReturnHome,Skip,Home,10007334,Urban,No,-1,75K-80K,15,3,4,-1
2,HBO,4,5,High,30,Home,FewYear,AlmostEveryday,ServePassenger,Car,DropSomeoneOff,10021406,Urban,Yes,0,80K-100K,47,1,11,11
2,NHB,4,5,High,30,DropSomeoneOff,FewYear,AlmostEveryday,ToWork,Car,GoToWork,10021406,Urban,Yes,0,80K-100K,47,1,11,11
2,NHB,4,5,High,30,GoToWork,FewYear,AlmostEveryday,ServePassenger,Car,PickUpSomeone,10021406,Urban,Yes,0,80K-100K,47,1,11,11
2,HBO,4,5,High,30,PickUpSomeone,FewYear,AlmostEveryday,ReturnHome,Car,Home,10021406,Urban,Yes,0,80K-100K,47,1,11,11
2,HBSHOP,4,5,High,30,Home,FewYear,AlmostEveryday,Family,Car,BuyService,10021406,Urban,Yes,0,80K-100K,47,1,11,11
2,NHB,4,5,High,30,BuyService,FewYear,AlmostEveryday,ServePassenger,Car,PickUpSomeone,10021406,Urban,Yes,0,80K-100K,47,1,11,11
2,HBO,4,5,High,30,PickUpSomeone,FewYear,AlmostEveryday,ReturnHome,Car,Home,10021406,Urban,Yes,0,80K-100K,47,1,11,11
2,HBO,4,5,High,30,Home,FewYear,AlmostEveryday,ServePassenger,Car,DropSomeoneOff,10021406,Urban,Yes,0,80K-100K,47,1,11,11
2,HBO,4,5,High,30,DropSomeoneOff,FewYear,AlmostEveryday,ReturnHome,Car,Home,10021406,Urban,Yes,0,80K-100K,47,1,11,11
2,HBO,4,5,High,30,Home,FewYear,AlmostEveryday,ServePassenger,Car,PickUpSomeone,10021406,Urban,Yes,0,80K-100K,47,1,11,11
2,HBO,4,5,High,30,PickUpSomeone,FewYear,AlmostEveryday,ReturnHome,Car,Home,10021406,Urban,Yes,0,80K-100K,47,1,11,11
2,HBO,4,0,High,25,Home,Skip,OnceWeek,ServePassenger,SUV,DropSomeoneOff,10021406,Urban,Yes,0,80K-100K,46,2,5,7
2,NHB,4,0,High,25,DropSomeoneOff,Skip,OnceWeek,ToWork,SUV,GoToWork,10021406,Urban,Yes,0,80K-100K,46,2,5,7
2,NHB,4,0,High,25,GoToWork,Skip,OnceWeek,Shopping,SUV,BuyGoods,10021406,Urban,Yes,0,80K-100K,46,2,5,7
2,NHB,4,0,High,25,BuyGoods,Skip,OnceWeek,ServePassenger,SUV,PickUpSomeone,10021406,Urban,Yes,0,80K-100K,46,2,5,7
2,HBO,4,0,High,25,PickUpSomeone,Skip,OnceWeek,ReturnHome,SUV,Home,10021406,Urban,Yes,0,80K-100K,46,2,5,7
2,HBO,4,-1,High,-1,Home,Skip,Skip,School,Skip,GoSchoolAsStudent,10021406,Urban,Skip,-1,80K-100K,13,3,5,-1
2,NHB,4,-1,High,-1,GoSchoolAsStudent,Skip,Skip,ServePassenger,Skip,TakeAndWait,10021406,Urban,Skip,-1,80K-100K,13,3,5,-1
