WRKCOUNT,TRIPPURP,HHSIZE,NWALKTRP,HHFAMINC2,TIMETOWK,WHYFROM,WKFMHMXX,WEBUSE,WEBUSE,WHYTRP1S,WRKTRANS,WHYTO,HOUSEID,URBRUR,DRIVER,NBIKETRP,HHFAMINC,R_AGE,PERSONID,CNTTDTR,GCDWORK
1,NHB,2,1,High,28,BuyGoods,Skip,1,Daily,Meals,Car,BuyMeals,30003254,Urban,Yes,0,75K-100K,28,2,7,11.18
1,NHB,2,1,High,28,BuyMeals,Skip,1,Daily,Shopping,Car,BuyGoods,30003254,Urban,Yes,0,75K-100K,28,2,7,11.18
1,NHB,2,1,High,28,BuyGoods,Skip,1,Daily,Medical,Car,MedicalService,30003254,Urban,Yes,0,75K-100K,28,2,7,11.18
1,HBO,2,1,High,28,MedicalService,Skip,1,Daily,Home,Car,Home,30003254,Urban,Yes,0,75K-100K,28,2,7,11.18
1,HBSHOP,2,1,High,28,Home,Skip,1,Daily,Meals,Car,BuyMeals,30003254,Urban,Yes,0,75K-100K,28,2,7,11.18
1,HBSHOP,2,1,High,28,BuyMeals,Skip,1,Daily,Home,Car,Home,30003254,Urban,Yes,0,75K-100K,28,2,7,11.18
0,HBSOCREC,1,0,VeryLow,-1,GoToGym,Skip,1,Daily,Home,Skip,Home,30005355,Urban,Yes,7,15K-25K,54,1,3,-9.0
0,HBSHOP,1,0,VeryLow,-1,Home,Skip,1,Daily,Meals,Skip,BuyMeals,30005355,Urban,Yes,7,15K-25K,54,1,3,-9.0
0,HBSHOP,1,0,VeryLow,-1,BuyMeals,Skip,1,Daily,Home,Skip,Home,30005355,Urban,Yes,7,15K-25K,54,1,3,-9.0
1,HBO,3,21,VeryLow,-1,Home,Skip,1,Daily,Home,Skip,Home,30005927,Urban,Yes,0,15K-25K,44,1,3,-9.0
1,HBO,3,21,VeryLow,-1,Home,Skip,1,Daily,Home,Skip,Home,30005927,Urban,Yes,0,15K-25K,44,1,3,-9.0
1,HBO,3,21,VeryLow,-1,Home,Skip,1,Daily,Home,Skip,Home,30005927,Urban,Yes,0,15K-25K,44,1,3,-9.0
1,HBO,3,7,VeryLow,15,Home,Skip,1,Daily,Home,SUV,Home,30005927,Urban,Yes,0,15K-25K,40,2,3,4.67
1,HBO,3,7,VeryLow,15,Home,Skip,1,Daily,Home,SUV,Home,30005927,Urban,Yes,0,15K-25K,40,2,3,4.67
1,HBO,3,7,VeryLow,15,Home,Skip,1,Daily,Home,SUV,Home,30005927,Urban,Yes,0,15K-25K,40,2,3,4.67
1,HBO,3,28,VeryLow,-1,Home,Skip,1,Daily,Home,Skip,Home,30005927,Urban,Skip,0,15K-25K,14,3,3,-9.0
1,HBO,3,28,VeryLow,-1,Home,Skip,1,Daily,Home,Skip,Home,30005927,Urban,Skip,0,15K-25K,14,3,3,-9.0
1,HBO,3,28,VeryLow,-1,Home,Skip,1,Daily,Home,Skip,Home,30005927,Urban,Skip,0,15K-25K,14,3,3,-9.0
0,HBO,1,10,ExtremelyLow,-1,Home,Skip,1,Daily,Medical,Skip,MedicalService,30007984,Urban,Yes,0,10K-15K,65,1,4,-9.0
0,HBO,1,10,ExtremelyLow,-1,MedicalService,Skip,1,Daily,Home,Skip,Home,30007984,Urban,Yes,0,10K-15K,65,1,4,-9.0
0,HBSHOP,1,10,ExtremelyLow,-1,Home,Skip,1,Daily,Meals,Skip,BuyMeals,30007984,Urban,Yes,0,10K-15K,65,1,4,-9.0
0,HBSHOP,1,10,ExtremelyLow,-1,BuyMeals,Skip,1,Daily,Home,Skip,Home,30007984,Urban,Yes,0,10K-15K,65,1,4,-9.0
0,HBSOCREC,1,6,ExtremelyLow,-1,Home,Skip,1,Daily,SocialRecreation,Skip,GoToGym,30008132,Urban,Yes,0,10K-15K,70,1,9,-9.0
0,NHB,1,6,ExtremelyLow,-1,GoToGym,Skip,1,Daily,SocialRecreation,Skip,VisitFriends,30008132,Urban,Yes,0,10K-15K,70,1,9,-9.0
0,NHB,1,6,ExtremelyLow,-1,VisitFriends,Skip,1,Daily,Shopping,Skip,BuyService,30008132,Urban,Yes,0,10K-15K,70,1,9,-9.0
