HOUSEID,PERSONID,URBRUR,WHYFROM,DRIVER,WHYTO,WHYTRP1S,HHFAMINC,TRIPPURP,WRKCOUNT,R_AGE,USULDRV,WEBUSE,WKFMHMXX,WRKTRANS,GCDWORK,CNTTDTR,NWALKTRP,NBIKETRP,DISTTOWK,TIMETOWK,HHSIZE,HHFAMINC2
10003738,2,Urban,GoSchoolAsStudent,Yes,MedicalService,Medical,15K-20K,NHB,1,17,Skip,Skip,Skip,Skip,-1,4,10,0,-9.0,-1,2,0
10003738,2,Urban,MedicalService,Yes,DropSomeoneOff,ServePassenger,15K-20K,NHB,1,17,Skip,Skip,Skip,Skip,-1,4,10,0,-9.0,-1,2,0
10003738,2,Urban,DropSomeoneOff,Yes,Home,ReturnHome,15K-20K,HBO,1,17,Skip,Skip,Skip,Skip,-1,4,10,0,-9.0,-1,2,0
10004007,1,Urban,Home,Yes,BuyGoods,Shopping,10K-15K,HBSHOP,0,77,Skip,OnceMonth,Skip,Skip,-1,10,3,0,-9.0,-1,1,0
10004007,1,Urban,BuyGoods,Yes,AttorneyAccountant,Family,10K-15K,NHB,0,77,Skip,OnceMonth,Skip,Skip,-1,10,3,0,-9.0,-1,1,0
10004007,1,Urban,AttorneyAccountant,Yes,BuyGoods,Shopping,10K-15K,NHB,0,77,Skip,OnceMonth,Skip,Skip,-1,10,3,0,-9.0,-1,1,0
10004007,1,Urban,BuyGoods,Yes,BuyGoods,Shopping,10K-15K,NHB,0,77,Skip,OnceMonth,Skip,Skip,-1,10,3,0,-9.0,-1,1,0
10004007,1,Urban,BuyGoods,Yes,BuyGoods,Shopping,10K-15K,NHB,0,77,Skip,OnceMonth,Skip,Skip,-1,10,3,0,-9.0,-1,1,0
10004007,1,Urban,BuyGoods,Yes,GetMeal,EatMeal,10K-15K,NHB,0,77,Skip,OnceMonth,Skip,Skip,-1,10,3,0,-9.0,-1,1,0
10004007,1,Urban,GetMeal,Yes,DropSomeoneOff,ServePassenger,10K-15K,NHB,0,77,Skip,OnceMonth,Skip,Skip,-1,10,3,0,-9.0,-1,1,0
10004007,1,Urban,DropSomeoneOff,Yes,Home,ReturnHome,10K-15K,HBO,0,77,Skip,OnceMonth,Skip,Skip,-1,10,3,0,-9.0,-1,1,0
10004007,1,Urban,Home,Yes,Other,Other,10K-15K,HBO,0,77,Skip,OnceMonth,Skip,Skip,-1,10,3,0,-9.0,-1,1,0
10004007,1,Urban,Other,Yes,Home,ReturnHome,10K-15K,HBO,0,77,Skip,OnceMonth,Skip,Skip,-1,10,3,0,-9.0,-1,1,0
10007334,1,Urban,Home,Yes,BuyGas,Shopping,75K-80K,HBSHOP,2,56,Skip,SeveralWeek,OnceMonthMore,Other,1,7,2,0,1.11,3,3,2
10007334,1,Urban,BuyGas,Yes,OtherWorkRelated,WorkRelated,75K-80K,NHB,2,56,Skip,SeveralWeek,OnceMonthMore,Other,1,7,2,0,1.11,3,3,2
10007334,1,Urban,OtherWorkRelated,Yes,GoToWork,ToWork,75K-80K,NHB,2,56,Skip,SeveralWeek,OnceMonthMore,Other,1,7,2,0,1.11,3,3,2
10007334,1,Urban,GoToWork,Yes,BuyService,Family,75K-80K,NHB,2,56,Skip,SeveralWeek,OnceMonthMore,Other,1,7,2,0,1.11,3,3,2
10007334,1,Urban,BuyService,Yes,BuyGoods,Shopping,75K-80K,NHB,2,56,Skip,SeveralWeek,OnceMonthMore,Other,1,7,2,0,1.11,3,3,2
10007334,1,Urban,BuyGoods,Yes,ReturnToWork,ReturnWork,75K-80K,NHB,2,56,Skip,SeveralWeek,OnceMonthMore,Other,1,7,2,0,1.11,3,3,2
10007334,1,Urban,ReturnToWork,Yes,Home,ReturnHome,75K-80K,HBW,2,56,Skip,SeveralWeek,OnceMonthMore,Other,1,7,2,0,1.11,3,3,2
10007334,2,Urban,Home,Yes,SchoolOrReligiousActivity,Other,75K-80K,HBO,2,45,Alone,OnceWeek,Skip,Car,6,6,0,0,21.0,35,3,2
10007334,2,Urban,SchoolOrReligiousActivity,Yes,Home,ReturnHome,75K-80K,HBO,2,45,Alone,OnceWeek,Skip,Car,6,6,0,0,21.0,35,3,2
10007334,2,Urban,Home,Yes,GoToWork,ToWork,75K-80K,HBW,2,45,Alone,OnceWeek,Skip,Car,6,6,0,0,21.0,35,3,2
10007334,2,Urban,GoToWork,Yes,Home,ReturnHome,75K-80K,HBW,2,45,Alone,OnceWeek,Skip,Car,6,6,0,0,21.0,35,3,2
10007334,2,Urban,Home,Yes,PickUpSomeone,ServePassenger,75K-80K,HBO,2,45,Alone,OnceWeek,Skip,Car,6,6,0,0,21.0,35,3,2
10007334,2,Urban,PickUpSomeone,Yes,Home,ReturnHome,75K-80K,HBO,2,45,Alone,OnceWeek,Skip,Car,6,6,0,0,21.0,35,3,2
10007334,3,Urban,Home,No,GoSchoolAsStudent,School,75K-80K,HBO,2,15,Skip,Skip,Skip,Skip,-1,4,-1,-1,-1.0,-1,3,2
10007334,3,Urban,GoSchoolAsStudent,No,GoSchoolAsStudent,School,75K-80K,NHB,2,15,Skip,Skip,Skip,Skip,-1,4,-1,-1,-1.0,-1,3,2
10007334,3,Urban,GoSchoolAsStudent,No,TransportSomeone,ServePassenger,75K-80K,NHB,2,15,Skip,Skip,Skip,Skip,-1,4,-1,-1,-1.0,-1,3,2
10007334,3,Urban,TransportSomeone,No,Home,ReturnHome,75K-80K,HBO,2,15,Skip,Skip,Skip,Skip,-1,4,-1,-1,-1.0,-1,3,2
10021406,1,Urban,Home,Yes,DropSomeoneOff,ServePassenger,80K-100K,HBO,2,47,Alone,AlmostEveryday,FewYear,Car,11,11,5,0,15.0,30,4,2
10021406,1,Urban,DropSomeoneOff,Yes,GoToWork,ToWork,80K-100K,NHB,2,47,Alone,AlmostEveryday,FewYear,Car,11,11,5,0,15.0,30,4,2
10021406,1,Urban,GoToWork,Yes,PickUpSomeone,ServePassenger,80K-100K,NHB,2,47,Alone,AlmostEveryday,FewYear,Car,11,11,5,0,15.0,30,4,2
10021406,1,Urban,PickUpSomeone,Yes,Home,ReturnHome,80K-100K,HBO,2,47,Alone,AlmostEveryday,FewYear,Car,11,11,5,0,15.0,30,4,2
10021406,1,Urban,Home,Yes,BuyService,Family,80K-100K,HBSHOP,2,47,Alone,AlmostEveryday,FewYear,Car,11,11,5,0,15.0,30,4,2
10021406,1,Urban,BuyService,Yes,PickUpSomeone,ServePassenger,80K-100K,NHB,2,47,Alone,AlmostEveryday,FewYear,Car,11,11,5,0,15.0,30,4,2
10021406,1,Urban,PickUpSomeone,Yes,Home,ReturnHome,80K-100K,HBO,2,47,Alone,AlmostEveryday,FewYear,Car,11,11,5,0,15.0,30,4,2
10021406,1,Urban,Home,Yes,DropSomeoneOff,ServePassenger,80K-100K,HBO,2,47,Alone,AlmostEveryday,FewYear,Car,11,11,5,0,15.0,30,4,2
10021406,1,Urban,DropSomeoneOff,Yes,Home,ReturnHome,80K-100K,HBO,2,47,Alone,AlmostEveryday,FewYear,Car,11,11,5,0,15.0,30,4,2
10021406,1,Urban,Home,Yes,PickUpSomeone,ServePassenger,80K-100K,HBO,2,47,Alone,AlmostEveryday,FewYear,Car,11,11,5,0,15.0,30,4,2
10021406,1,Urban,PickUpSomeone,Yes,Home,ReturnHome,80K-100K,HBO,2,47,Alone,AlmostEveryday,FewYear,Car,11,11,5,0,15.0,30,4,2
10021406,2,Urban,Home,Yes,DropSomeoneOff,ServePassenger,80K-100K,HBO,2,46,Alone,OnceWeek,Skip,SUV,7,5,0,0,11.0,25,4,2
10021406,2,Urban,DropSomeoneOff,Yes,GoToWork,ToWork,80K-100K,NHB,2,46,Alone,OnceWeek,Skip,SUV,7,5,0,0,11.0,25,4,2
10021406,2,Urban,GoToWork,Yes,BuyGoods,Shopping,80K-100K,NHB,2,46,Alone,OnceWeek,Skip,SUV,7,5,0,0,11.0,25,4,2
10021406,2,Urban,BuyGoods,Yes,PickUpSomeone,ServePassenger,80K-100K,NHB,2,46,Alone,OnceWeek,Skip,SUV,7,5,0,0,11.0,25,4,2
10021406,2,Urban,PickUpSomeone,Yes,Home,ReturnHome,80K-100K,HBO,2,46,Alone,OnceWeek,Skip,SUV,7,5,0,0,11.0,25,4,2
10021406,3,Urban,Home,Skip,GoSchoolAsStudent,School,80K-100K,HBO,2,13,Skip,Skip,Skip,Skip,-1,5,-1,-1,-1.0,-1,4,2
10021406,3,Urban,GoSchoolAsStudent,Skip,TakeAndWait,ServePassenger,80K-100K,NHB,2,13,Skip,Skip,Skip,Skip,-1,5,-1,-1,-1.0,-1,4,2
10021406,3,Urban,TakeAndWait,Skip,Home,ReturnHome,80K-100K,HBO,2,13,Skip,Skip,Skip,Skip,-1,5,-1,-1,-1.0,-1,4,2
10021406,3,Urban,Home,Skip,PTA,Family,80K-100K,HBO,2,13,Skip,Skip,Skip,Skip,-1,5,-1,-1,-1.0,-1,4,2
10021406,3,Urban,PTA,Skip,Home,ReturnHome,80K-100K,HBO,2,13,Skip,Skip,Skip,Skip,-1,5,-1,-1,-1.0,-1,4,2
10021406,4,Urban,Home,Skip,GoSchoolAsStudent,School,80K-100K,HBO,2,8,Skip,Skip,Skip,Skip,-1,3,-1,-1,-1.0,-1,4,2
10021406,4,Urban,GoSchoolAsStudent,Skip,HangOut,SocialRecreation,80K-100K,NHB,2,8,Skip,Skip,Skip,Skip,-1,3,-1,-1,-1.0,-1,4,2
10021406,4,Urban,HangOut,Skip,Home,ReturnHome,80K-100K,HBSOCREC,2,8,Skip,Skip,Skip,Skip,-1,3,-1,-1,-1.0,-1,4,2
10022047,1,Rural,Home,Yes,GoToWork,ToWork,65K-70K,HBW,1,60,Alone,SeveralWeek,Skip,Car,25,2,4,0,32.0,45,2,2
10022047,1,Rural,GoToWork,Yes,Home,ReturnHome,65K-70K,HBW,1,60,Alone,SeveralWeek,Skip,Car,25,2,4,0,32.0,45,2,2
10022047,2,Rural,Home,Yes,DropSomeoneOff,ServePassenger,65K-70K,HBO,1,63,Skip,SeveralWeek,Skip,Skip,-1,9,0,0,-9.0,-1,2,2
10022047,2,Rural,DropSomeoneOff,Yes,BuyService,Family,65K-70K,NHB,1,63,Skip,SeveralWeek,Skip,Skip,-1,9,0,0,-9.0,-1,2,2
10022047,2,Rural,BuyService,Yes,BuyGoods,Shopping,65K-70K,NHB,1,63,Skip,SeveralWeek,Skip,Skip,-1,9,0,0,-9.0,-1,2,2
10022047,2,Rural,BuyGoods,Yes,BuyGoods,Shopping,65K-70K,NHB,1,63,Skip,SeveralWeek,Skip,Skip,-1,9,0,0,-9.0,-1,2,2
10022047,2,Rural,BuyGoods,Yes,BuyService,Family,65K-70K,NHB,1,63,Skip,SeveralWeek,Skip,Skip,-1,9,0,0,-9.0,-1,2,2
10022047,2,Rural,BuyService,Yes,Home,ReturnHome,65K-70K,HBSHOP,1,63,Skip,SeveralWeek,Skip,Skip,-1,9,0,0,-9.0,-1,2,2
10022047,2,Rural,Home,Yes,BuyGoods,Shopping,65K-70K,HBSHOP,1,63,Skip,SeveralWeek,Skip,Skip,-1,9,0,0,-9.0,-1,2,2
10022047,2,Rural,BuyGoods,Yes,PickUpSomeone,ServePassenger,65K-70K,NHB,1,63,Skip,SeveralWeek,Skip,Skip,-1,9,0,0,-9.0,-1,2,2
10022047,2,Rural,PickUpSomeone,Yes,Home,ReturnHome,65K-70K,HBO,1,63,Skip,SeveralWeek,Skip,Skip,-1,9,0,0,-9.0,-1,2,2
10031197,1,Urban,Home,Yes,VisitFriends,SocialRecreation,50K-55K,HBSOCREC,0,56,Skip,Skip,Skip,Skip,-1,2,1,0,-9.0,-1,1,2
10031197,1,Urban,VisitFriends,Yes,Home,ReturnHome,50K-55K,HBSOCREC,0,56,Skip,Skip,Skip,Skip,-1,2,1,0,-9.0,-1,1,2
10035289,1,Urban,Home,Yes,BuyGoods,Shopping,80K-100K,HBSHOP,1,52,Skip,AlmostEveryday,Skip,Skip,-1,4,5,0,-9.0,-1,2,2
10035289,1,Urban,BuyGoods,Yes,Home,ReturnHome,80K-100K,HBSHOP,1,52,Skip,AlmostEveryday,Skip,Skip,-1,4,5,0,-9.0,-1,2,2
10035289,1,Urban,Home,Yes,GoToGym,SocialRecreation,80K-100K,HBSOCREC,1,52,Skip,AlmostEveryday,Skip,Skip,-1,4,5,0,-9.0,-1,2,2
10035289,1,Urban,GoToGym,Yes,Home,ReturnHome,80K-100K,HBSOCREC,1,52,Skip,AlmostEveryday,Skip,Skip,-1,4,5,0,-9.0,-1,2,2
10035289,2,Urban,Home,Yes,GoToWork,ToWork,80K-100K,HBW,1,54,Alone,AlmostEveryday,FewYear,SUV,18,4,0,0,23.0,50,2,2
10035289,2,Urban,GoToWork,Yes,OtherWorkRelated,WorkRelated,80K-100K,NHB,1,54,Alone,AlmostEveryday,FewYear,SUV,18,4,0,0,23.0,50,2,2
10035289,2,Urban,OtherWorkRelated,Yes,BuyGoods,Shopping,80K-100K,NHB,1,54,Alone,AlmostEveryday,FewYear,SUV,18,4,0,0,23.0,50,2,2
10035289,2,Urban,BuyGoods,Yes,Home,ReturnHome,80K-100K,HBSHOP,1,54,Alone,AlmostEveryday,FewYear,SUV,18,4,0,0,23.0,50,2,2
10040322,1,Urban,Home,Yes,GoToWork,ToWork,50K-55K,HBW,2,31,Alone,SeveralWeek,Skip,Car,5,4,2,0,2.0,5,3,2
10040322,1,Urban,GoToWork,Yes,Home,ReturnHome,50K-55K,HBW,2,31,Alone,SeveralWeek,Skip,Car,5,4,2,0,2.0,5,3,2
10040322,1,Urban,Home,Yes,ReturnToWork,ReturnWork,50K-55K,HBW,2,31,Alone,SeveralWeek,Skip,Car,5,4,2,0,2.0,5,3,2
10040322,1,Urban,ReturnToWork,Yes,Home,ReturnHome,50K-55K,HBW,2,31,Alone,SeveralWeek,Skip,Car,5,4,2,0,2.0,5,3,2
10040322,2,Urban,Home,Yes,VisitFriends,SocialRecreation,50K-55K,HBSOCREC,2,31,Alone,AlmostEveryday,Skip,Car,2,2,3,0,8.0,15,3,2
10040322,2,Urban,VisitFriends,Yes,Home,ReturnHome,50K-55K,HBSOCREC,2,31,Alone,AlmostEveryday,Skip,Car,2,2,3,0,8.0,15,3,2
10040322,3,Urban,Home,No,VisitFriends,SocialRecreation,50K-55K,HBSOCREC,2,-8,Skip,Skip,Skip,Skip,-1,2,-1,-1,-1.0,-1,3,2
10040322,3,Urban,VisitFriends,No,Home,ReturnHome,50K-55K,HBSOCREC,2,-8,Skip,Skip,Skip,Skip,-1,2,-1,-1,-1.0,-1,3,2
10045224,1,Urban,Home,Yes,PickUpSomeone,ServePassenger,20K-25K,HBO,2,46,Skip,Skip,Skip,Skip,-1,2,1,0,-9.0,-1,2,0
10045224,1,Urban,PickUpSomeone,Yes,Home,ReturnHome,20K-25K,HBO,2,46,Skip,Skip,Skip,Skip,-1,2,1,0,-9.0,-1,2,0
10045224,2,Urban,Home,Yes,GoToWork,ToWork,20K-25K,HBW,2,50,Alone,Skip,Skip,Car,5,4,5,0,15.0,20,2,0
10045224,2,Urban,GoToWork,Yes,Home,ReturnHome,20K-25K,HBW,2,50,Alone,Skip,Skip,Car,5,4,5,0,15.0,20,2,0
10045224,2,Urban,Home,Yes,VisitFriends,SocialRecreation,20K-25K,HBSOCREC,2,50,Alone,Skip,Skip,Car,5,4,5,0,15.0,20,2,0
10045224,2,Urban,VisitFriends,Yes,Home,ReturnHome,20K-25K,HBSOCREC,2,50,Alone,Skip,Skip,Car,5,4,5,0,15.0,20,2,0
10048672,1,Urban,Home,No,GoToWork,ToWork,5K-10K,HBW,1,53,Skip,Skip,Skip,Walk,7,2,4,0,1.11,8,2,0
10048672,1,Urban,GoToWork,No,Home,ReturnHome,5K-10K,HBW,1,53,Skip,Skip,Skip,Walk,7,2,4,0,1.11,8,2,0
10050648,1,Urban,Home,Yes,GoToWork,ToWork,45K-50K,HBW,1,43,Alone,SeveralWeek,Skip,Car,8,3,2,0,15.0,20,1,2
10050648,1,Urban,GoToWork,Yes,OtherWorkRelated,WorkRelated,45K-50K,NHB,1,43,Alone,SeveralWeek,Skip,Car,8,3,2,0,15.0,20,1,2
10050648,1,Urban,OtherWorkRelated,Yes,OtherWorkRelated,WorkRelated,45K-50K,NHB,1,43,Alone,SeveralWeek,Skip,Car,8,3,2,0,15.0,20,1,2
10052660,1,Urban,Home,Yes,GoToWork,ToWork,25K-30K,HBW,1,50,Skip,AlmostEveryday,Skip,Skip,0,6,3,0,-9.0,-1,1,0
10052660,1,Urban,GoToWork,Yes,OtherWorkRelated,WorkRelated,25K-30K,NHB,1,50,Skip,AlmostEveryday,Skip,Skip,0,6,3,0,-9.0,-1,1,0
10052660,1,Urban,OtherWorkRelated,Yes,GetMeal,EatMeal,25K-30K,NHB,1,50,Skip,AlmostEveryday,Skip,Skip,0,6,3,0,-9.0,-1,1,0
10052660,1,Urban,GetMeal,Yes,ReturnToWork,ReturnWork,25K-30K,NHB,1,50,Skip,AlmostEveryday,Skip,Skip,0,6,3,0,-9.0,-1,1,0
10052660,1,Urban,ReturnToWork,Yes,PTA,Family,25K-30K,NHB,1,50,Skip,AlmostEveryday,Skip,Skip,0,6,3,0,-9.0,-1,1,0
10052660,1,Urban,PTA,Yes,Home,ReturnHome,25K-30K,HBO,1,50,Skip,AlmostEveryday,Skip,Skip,0,6,3,0,-9.0,-1,1,0
10060197,2,Urban,Home,Yes,GroomingHaircutNails,Family,20K-25K,HBO,0,71,Skip,Skip,Skip,Skip,-1,5,-8,0,-9.0,-1,2,0
10060197,2,Urban,GroomingHaircutNails,Yes,BuyGoods,Shopping,20K-25K,NHB,0,71,Skip,Skip,Skip,Skip,-1,5,-8,0,-9.0,-1,2,0
10060197,2,Urban,BuyGoods,Yes,BuyService,Family,20K-25K,NHB,0,71,Skip,Skip,Skip,Skip,-1,5,-8,0,-9.0,-1,2,0
10060197,2,Urban,BuyService,Yes,VisitFriends,SocialRecreation,20K-25K,NHB,0,71,Skip,Skip,Skip,Skip,-1,5,-8,0,-9.0,-1,2,0
10060197,2,Urban,VisitFriends,Yes,Home,ReturnHome,20K-25K,HBSOCREC,0,71,Skip,Skip,Skip,Skip,-1,5,-8,0,-9.0,-1,2,0
10061523,1,Urban,Home,Yes,BuyService,Family,morethan100K,HBSHOP,0,40,Skip,AlmostEveryday,Skip,Skip,-1,3,3,0,-9.0,-1,4,2
10061523,1,Urban,BuyService,Yes,BuyGoods,Shopping,morethan100K,NHB,0,40,Skip,AlmostEveryday,Skip,Skip,-1,3,3,0,-9.0,-1,4,2
10061523,1,Urban,BuyGoods,Yes,Home,ReturnHome,morethan100K,HBSHOP,0,40,Skip,AlmostEveryday,Skip,Skip,-1,3,3,0,-9.0,-1,4,2
