HOUSEID,PERSONID,WHYFROM,TRIPPURP,WHYTRP1S,WHYTO,HHFAMINC,WRKCOUNT,URBRUR,R_AGE,DRIVER,WRKTRANS,NWALKTRP,NBIKETRP,CARSHARE,TIMETOWK,WKFMHMXX,SCHTRN1,SCHTRN2,DELIVER,CNTTDTR,GCDWORK,DISTTOWK17,DISTTOSC17,BIKE,CAR,BUS,TRAIN,WEBUSE,HHSIZE,WEBUSE.1,HHFAMINC2
30003254,2,7,1,1,2,3,1,0,28,0,1,1,0,0,28,0,1,1,1,7,11.18,15.03,-9.0,0,0,0,0,1,2,0,2
30003254,2,3,1,5,9,3,1,0,28,0,1,1,0,0,28,0,1,1,1,7,11.18,15.03,-9.0,0,0,0,0,1,2,0,2
30003254,2,9,3,2,3,3,1,0,28,0,1,1,0,0,28,0,1,1,1,7,11.18,15.03,-9.0,0,0,0,0,1,2,0,2
30003254,2,0,2,3,7,3,1,0,28,0,1,1,0,0,28,0,1,1,1,7,11.18,15.03,-9.0,0,0,0,0,1,2,0,2
30003254,2,7,2,2,3,3,1,0,28,0,1,1,0,0,28,0,1,1,1,7,11.18,15.03,-9.0,0,0,0,0,1,2,0,2
30005355,1,4,0,2,3,1,0,0,54,0,0,0,7,0,-1,0,0,0,1,3,-9.0,-9.0,-9.0,0,0,0,0,1,1,0,0
30005355,1,0,2,3,7,1,0,0,54,0,0,0,7,0,-1,0,0,0,1,3,-9.0,-9.0,-9.0,0,0,0,0,1,1,0,0
30005355,1,7,2,2,3,1,0,0,54,0,0,0,7,0,-1,0,0,0,1,3,-9.0,-9.0,-9.0,0,0,0,0,1,1,0,0
30005927,1,0,3,2,3,1,1,0,44,0,0,21,0,0,-1,0,0,0,0,3,-9.0,-9.0,-9.0,1,0,0,0,1,3,0,0
30005927,1,0,3,2,3,1,1,0,44,0,0,21,0,0,-1,0,0,0,0,3,-9.0,-9.0,-9.0,1,0,0,0,1,3,0,0
30005927,1,0,3,2,3,1,1,0,44,0,0,21,0,0,-1,0,0,0,0,3,-9.0,-9.0,-9.0,1,0,0,0,1,3,0,0
30005927,2,0,3,2,3,1,1,0,40,0,2,7,0,0,15,0,2,2,0,3,4.67,4.83,-9.0,1,0,0,0,1,3,0,0
30005927,2,0,3,2,3,1,1,0,40,0,2,7,0,0,15,0,2,2,0,3,4.67,4.83,-9.0,1,0,0,0,1,3,0,0
30005927,2,0,3,2,3,1,1,0,40,0,2,7,0,0,15,0,2,2,0,3,4.67,4.83,-9.0,1,0,0,0,1,3,0,0
30005927,3,0,3,2,3,1,1,0,14,1,0,28,0,-1,-1,0,0,0,-1,3,-9.0,-9.0,2.01,1,0,0,0,1,3,0,0
30005927,3,0,3,2,3,1,1,0,14,1,0,28,0,-1,-1,0,0,0,-1,3,-9.0,-9.0,2.01,1,0,0,0,1,3,0,0
30005927,3,0,3,2,3,1,1,0,14,1,0,28,0,-1,-1,0,0,0,-1,3,-9.0,-9.0,2.01,1,0,0,0,1,3,0,0
30007984,1,0,3,5,9,4,0,0,65,0,0,10,0,0,-1,0,0,0,0,4,-9.0,-9.0,-9.0,0,1,1,0,1,1,0,0
30007984,1,9,3,2,3,4,0,0,65,0,0,10,0,0,-1,0,0,0,0,4,-9.0,-9.0,-9.0,0,1,1,0,1,1,0,0
30007984,1,0,2,3,7,4,0,0,65,0,0,10,0,0,-1,0,0,0,0,4,-9.0,-9.0,-9.0,0,1,1,0,1,1,0,0
30007984,1,7,2,2,3,4,0,0,65,0,0,10,0,0,-1,0,0,0,0,4,-9.0,-9.0,-9.0,0,1,1,0,1,1,0,0
30008132,1,0,0,0,4,4,0,0,70,0,0,6,0,0,-1,0,0,0,2,9,-9.0,-9.0,-9.0,3,1,0,0,1,1,0,0
30008132,1,4,1,0,0,4,0,0,70,0,0,6,0,0,-1,0,0,0,2,9,-9.0,-9.0,-9.0,3,1,0,0,1,1,0,0
30008132,1,1,1,1,5,4,0,0,70,0,0,6,0,0,-1,0,0,0,2,9,-9.0,-9.0,-9.0,3,1,0,0,1,1,0,0
30008132,1,5,1,6,10,4,0,0,70,0,0,6,0,0,-1,0,0,0,2,9,-9.0,-9.0,-9.0,3,1,0,0,1,1,0,0
30008132,1,10,1,0,0,4,0,0,70,0,0,6,0,0,-1,0,0,0,2,9,-9.0,-9.0,-9.0,3,1,0,0,1,1,0,0
30008132,1,1,1,7,11,4,0,0,70,0,0,6,0,0,-1,0,0,0,2,9,-9.0,-9.0,-9.0,3,1,0,0,1,1,0,0
30008132,1,11,1,1,2,4,0,0,70,0,0,6,0,0,-1,0,0,0,2,9,-9.0,-9.0,-9.0,3,1,0,0,1,1,0,0
30008132,1,3,1,1,2,4,0,0,70,0,0,6,0,0,-1,0,0,0,2,9,-9.0,-9.0,-9.0,3,1,0,0,1,1,0,0
30008132,1,3,2,2,3,4,0,0,70,0,0,6,0,0,-1,0,0,0,2,9,-9.0,-9.0,-9.0,3,1,0,0,1,1,0,0
30008783,1,0,2,1,2,3,0,1,65,0,0,0,0,0,-1,0,0,0,1,8,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,2
30008783,1,3,1,6,10,3,0,1,65,0,0,0,0,0,-1,0,0,0,1,8,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,2
30008783,1,10,1,5,9,3,0,1,65,0,0,0,0,0,-1,0,0,0,1,8,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,2
30008783,1,9,1,1,2,3,0,1,65,0,0,0,0,0,-1,0,0,0,1,8,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,2
30008783,1,3,1,1,2,3,0,1,65,0,0,0,0,0,-1,0,0,0,1,8,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,2
30008783,1,3,1,1,2,3,0,1,65,0,0,0,0,0,-1,0,0,0,1,8,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,2
30008783,1,3,1,3,7,3,0,1,65,0,0,0,0,0,-1,0,0,0,1,8,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,2
30008783,1,7,2,2,3,3,0,1,65,0,0,0,0,0,-1,0,0,0,1,8,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,2
30008783,2,0,3,5,9,3,0,1,64,0,0,0,0,0,-1,0,0,0,1,5,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,2
30008783,2,9,1,1,2,3,0,1,64,0,0,0,0,0,-1,0,0,0,1,5,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,2
30008783,2,3,2,2,3,3,0,1,64,0,0,0,0,0,-1,0,0,0,1,5,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,2
30008783,2,0,3,7,11,3,0,1,64,0,0,0,0,0,-1,0,0,0,1,5,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,2
30008783,2,11,3,2,3,3,0,1,64,0,0,0,0,0,-1,0,0,0,1,5,-9.0,-9.0,-9.0,0,0,0,0,1,2,0,2
30009843,1,0,4,8,12,0,1,0,23,0,1,4,0,0,17,1,1,1,16,3,2596.27,3129.79,-9.0,4,0,0,0,1,1,0,0
30009843,1,12,1,1,2,0,1,0,23,0,1,4,0,0,17,1,1,1,16,3,2596.27,3129.79,-9.0,4,0,0,0,1,1,0,0
30009843,1,3,2,2,3,0,1,0,23,0,1,4,0,0,17,1,1,1,16,3,2596.27,3129.79,-9.0,4,0,0,0,1,1,0,0
30010005,1,0,2,1,5,4,0,0,65,2,0,0,0,0,-1,0,0,0,1,2,-9.0,-9.0,-9.0,0,1,0,0,5,1,1,0
30010005,1,5,2,2,3,4,0,0,65,2,0,0,0,0,-1,0,0,0,1,2,-9.0,-9.0,-9.0,0,1,0,0,5,1,1,0
30011070,1,0,2,3,7,0,0,0,71,0,0,0,0,0,-1,0,0,0,5,4,-9.0,-9.0,-9.0,0,2,0,0,1,2,0,0
30011070,1,7,1,1,5,0,0,0,71,0,0,0,0,0,-1,0,0,0,5,4,-9.0,-9.0,-9.0,0,2,0,0,1,2,0,0
30011070,1,5,1,1,1,0,0,0,71,0,0,0,0,0,-1,0,0,0,5,4,-9.0,-9.0,-9.0,0,2,0,0,1,2,0,0
30011070,1,2,3,2,3,0,0,0,71,0,0,0,0,0,-1,0,0,0,5,4,-9.0,-9.0,-9.0,0,2,0,0,1,2,0,0
