HOUSEID,PERSONID,URBRUR,WHYFROM,DRIVER,WHYTO,WHYTRP1S,HHFAMINC,TRIPPURP,WRKCOUNT,R_AGE,USULDRV,WEBUSE,WKFMHMXX,WRKTRANS,GCDWORK,CNTTDTR,NWALKTRP,NBIKETRP,DISTTOWK,TIMETOWK,HHSIZE,HHFAMINC2
10007334,2,0,0,0,10,4,3,2,2,45,0,4,0,0,6,6,0,0,21.0,35,3,2
10007334,2,0,10,0,3,3,3,2,2,45,0,4,0,0,6,6,0,0,21.0,35,3,2
10007334,3,0,0,2,13,8,3,2,2,15,1,0,0,1,-1,4,-1,-1,-1.0,-1,3,2
10007334,3,0,13,2,13,8,3,1,2,15,1,0,0,1,-1,4,-1,-1,-1.0,-1,3,2
10007334,3,0,13,2,5,4,3,1,2,15,1,0,0,1,-1,4,-1,-1,-1.0,-1,3,2
10007334,3,0,5,2,3,3,3,2,2,15,1,0,0,1,-1,4,-1,-1,-1.0,-1,3,2
10021406,1,0,0,0,12,4,4,2,2,47,0,1,2,0,11,11,5,0,15.0,30,4,2
10021406,1,0,12,0,2,2,4,1,2,47,0,1,2,0,11,11,5,0,15.0,30,4,2
10021406,1,0,3,0,10,4,4,1,2,47,0,1,2,0,11,11,5,0,15.0,30,4,2
10021406,1,0,10,0,3,3,4,2,2,47,0,1,2,0,11,11,5,0,15.0,30,4,2
10021406,1,0,0,0,1,1,4,0,2,47,0,1,2,0,11,11,5,0,15.0,30,4,2
10021406,1,0,2,0,10,4,4,1,2,47,0,1,2,0,11,11,5,0,15.0,30,4,2
10021406,1,0,10,0,3,3,4,2,2,47,0,1,2,0,11,11,5,0,15.0,30,4,2
10021406,1,0,0,0,12,4,4,2,2,47,0,1,2,0,11,11,5,0,15.0,30,4,2
10021406,1,0,12,0,3,3,4,2,2,47,0,1,2,0,11,11,5,0,15.0,30,4,2
10021406,1,0,0,0,10,4,4,2,2,47,0,1,2,0,11,11,5,0,15.0,30,4,2
10021406,1,0,10,0,3,3,4,2,2,47,0,1,2,0,11,11,5,0,15.0,30,4,2
10021406,2,0,0,0,12,4,4,2,2,46,0,4,0,3,7,5,0,0,11.0,25,4,2
10021406,2,0,12,0,2,2,4,1,2,46,0,4,0,3,7,5,0,0,11.0,25,4,2
10021406,2,0,3,0,6,5,4,1,2,46,0,4,0,3,7,5,0,0,11.0,25,4,2
10021406,2,0,6,0,10,4,4,1,2,46,0,4,0,3,7,5,0,0,11.0,25,4,2
10021406,2,0,10,0,3,3,4,2,2,46,0,4,0,3,7,5,0,0,11.0,25,4,2
10021406,3,0,0,1,13,8,4,2,2,13,1,0,0,1,-1,5,-1,-1,-1.0,-1,4,2
10021406,3,0,13,1,19,4,4,1,2,13,1,0,0,1,-1,5,-1,-1,-1.0,-1,4,2
10021406,3,0,19,1,3,3,4,2,2,13,1,0,0,1,-1,5,-1,-1,-1.0,-1,4,2
10021406,3,0,0,1,20,1,4,2,2,13,1,0,0,1,-1,5,-1,-1,-1.0,-1,4,2
10021406,3,0,20,1,3,3,4,2,2,13,1,0,0,1,-1,5,-1,-1,-1.0,-1,4,2
10021406,4,0,0,1,13,8,4,2,2,8,1,0,0,1,-1,3,-1,-1,-1.0,-1,4,2
10021406,4,0,13,1,7,6,4,1,2,8,1,0,0,1,-1,3,-1,-1,-1.0,-1,4,2
10021406,4,0,7,1,3,3,4,3,2,8,1,0,0,1,-1,3,-1,-1,-1.0,-1,4,2
10022047,1,1,0,0,2,2,5,4,1,60,0,3,0,0,25,2,4,0,32.0,45,2,2
10022047,1,1,3,0,3,3,5,4,1,60,0,3,0,0,25,2,4,0,32.0,45,2,2
10022047,2,1,0,0,12,4,5,2,1,63,1,3,0,1,-1,9,0,0,-9.0,-1,2,2
10022047,2,1,12,0,1,1,5,1,1,63,1,3,0,1,-1,9,0,0,-9.0,-1,2,2
10022047,2,1,2,0,6,5,5,1,1,63,1,3,0,1,-1,9,0,0,-9.0,-1,2,2
10022047,2,1,6,0,6,5,5,1,1,63,1,3,0,1,-1,9,0,0,-9.0,-1,2,2
10022047,2,1,6,0,1,1,5,1,1,63,1,3,0,1,-1,9,0,0,-9.0,-1,2,2
10022047,2,1,2,0,3,3,5,0,1,63,1,3,0,1,-1,9,0,0,-9.0,-1,2,2
10022047,2,1,0,0,6,5,5,0,1,63,1,3,0,1,-1,9,0,0,-9.0,-1,2,2
10022047,2,1,6,0,10,4,5,1,1,63,1,3,0,1,-1,9,0,0,-9.0,-1,2,2
10022047,2,1,10,0,3,3,5,2,1,63,1,3,0,1,-1,9,0,0,-9.0,-1,2,2
10031197,1,0,0,0,21,6,6,3,0,56,1,0,0,1,-1,2,1,0,-9.0,-1,1,2
10031197,1,0,21,0,3,3,6,3,0,56,1,0,0,1,-1,2,1,0,-9.0,-1,1,2
10035289,1,0,0,0,6,5,4,0,1,52,1,1,0,1,-1,4,5,0,-9.0,-1,2,2
10035289,1,0,6,0,3,3,4,0,1,52,1,1,0,1,-1,4,5,0,-9.0,-1,2,2
10035289,1,0,0,0,22,6,4,3,1,52,1,1,0,1,-1,4,5,0,-9.0,-1,2,2
10035289,1,0,22,0,3,3,4,3,1,52,1,1,0,1,-1,4,5,0,-9.0,-1,2,2
10035289,2,0,0,0,2,2,4,4,1,54,0,1,2,3,18,4,0,0,23.0,50,2,2
10035289,2,0,3,0,16,10,4,1,1,54,0,1,2,3,18,4,0,0,23.0,50,2,2
10035289,2,0,16,0,6,5,4,1,1,54,0,1,2,3,18,4,0,0,23.0,50,2,2
10035289,2,0,6,0,3,3,4,0,1,54,0,1,2,3,18,4,0,0,23.0,50,2,2
10040322,1,0,0,0,2,2,6,4,2,31,0,3,0,0,5,4,2,0,2.0,5,3,2
10040322,1,0,3,0,3,3,6,4,2,31,0,3,0,0,5,4,2,0,2.0,5,3,2
10040322,1,0,0,0,17,11,6,4,2,31,0,3,0,0,5,4,2,0,2.0,5,3,2
10040322,1,0,17,0,3,3,6,4,2,31,0,3,0,0,5,4,2,0,2.0,5,3,2
10040322,2,0,0,0,21,6,6,3,2,31,0,1,0,0,2,2,3,0,8.0,15,3,2
10040322,2,0,21,0,3,3,6,3,2,31,0,1,0,0,2,2,3,0,8.0,15,3,2
10040322,3,0,0,2,21,6,6,3,2,-8,1,0,0,1,-1,2,-1,-1,-1.0,-1,3,2
10040322,3,0,21,2,3,3,6,3,2,-8,1,0,0,1,-1,2,-1,-1,-1.0,-1,3,2
10045224,1,0,0,0,10,4,7,2,2,46,1,0,0,1,-1,2,1,0,-9.0,-1,2,0
10045224,1,0,10,0,3,3,7,2,2,46,1,0,0,1,-1,2,1,0,-9.0,-1,2,0
10045224,2,0,0,0,2,2,7,4,2,50,0,0,0,0,5,4,5,0,15.0,20,2,0
10045224,2,0,3,0,3,3,7,4,2,50,0,0,0,0,5,4,5,0,15.0,20,2,0
10045224,2,0,0,0,21,6,7,3,2,50,0,0,0,0,5,4,5,0,15.0,20,2,0
10045224,2,0,21,0,3,3,7,3,2,50,0,0,0,0,5,4,5,0,15.0,20,2,0
10048672,1,0,0,2,2,2,8,4,1,53,1,0,0,4,7,2,4,0,1.11,8,2,0
10048672,1,0,3,2,3,3,8,4,1,53,1,0,0,4,7,2,4,0,1.11,8,2,0
10050648,1,0,0,0,2,2,9,4,1,43,0,3,0,0,8,3,2,0,15.0,20,1,2
10050648,1,0,3,0,16,10,9,1,1,43,0,3,0,0,8,3,2,0,15.0,20,1,2
10050648,1,0,16,0,16,10,9,1,1,43,0,3,0,0,8,3,2,0,15.0,20,1,2
10052660,1,0,0,0,2,2,10,4,1,50,1,1,0,1,0,6,3,0,-9.0,-1,1,0
10052660,1,0,3,0,16,10,10,1,1,50,1,1,0,1,0,6,3,0,-9.0,-1,1,0
10052660,1,0,16,0,0,0,10,1,1,50,1,1,0,1,0,6,3,0,-9.0,-1,1,0
10052660,1,0,1,0,17,11,10,1,1,50,1,1,0,1,0,6,3,0,-9.0,-1,1,0
10052660,1,0,17,0,20,1,10,1,1,50,1,1,0,1,0,6,3,0,-9.0,-1,1,0
10052660,1,0,20,0,3,3,10,2,1,50,1,1,0,1,0,6,3,0,-9.0,-1,1,0
10060197,2,0,0,0,23,1,7,2,0,71,1,0,0,1,-1,5,-8,0,-9.0,-1,2,0
10060197,2,0,23,0,6,5,7,1,0,71,1,0,0,1,-1,5,-8,0,-9.0,-1,2,0
10060197,2,0,6,0,1,1,7,1,0,71,1,0,0,1,-1,5,-8,0,-9.0,-1,2,0
10060197,2,0,2,0,21,6,7,1,0,71,1,0,0,1,-1,5,-8,0,-9.0,-1,2,0
10060197,2,0,21,0,3,3,7,3,0,71,1,0,0,1,-1,5,-8,0,-9.0,-1,2,0
10061523,1,0,0,0,1,1,11,0,0,40,1,1,0,1,-1,3,3,0,-9.0,-1,4,2
10061523,1,0,2,0,6,5,11,1,0,40,1,1,0,1,-1,3,3,0,-9.0,-1,4,2
10061523,1,0,6,0,3,3,11,0,0,40,1,1,0,1,-1,3,3,0,-9.0,-1,4,2
10061523,2,0,0,0,12,4,11,2,0,40,1,1,0,1,-1,9,5,0,-9.0,-1,4,2
10061523,2,0,12,0,22,6,11,1,0,40,1,1,0,1,-1,9,5,0,-9.0,-1,4,2
10061523,2,0,22,0,3,3,11,3,0,40,1,1,0,1,-1,9,5,0,-9.0,-1,4,2
10061523,2,0,0,0,6,5,11,0,0,40,1,1,0,1,-1,9,5,0,-9.0,-1,4,2
