HOUSEID,PERSONID,URBRUR,WHYFROM,DRIVER,WHYTO,WHYTRP1S,HHFAMINC,TRIPPURP,WRKCOUNT,R_AGE,USULDRV,WEBUSE,WKFMHMXX,WRKTRANS,GCDWORK,CNTTDTR,NWALKTRP,NBIKETRP,DISTTOWK,TIMETOWK,HHSIZE
10007334,3,1,1,2,21,3,16,4,2,15,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,3
10007334,3,1,21,2,21,3,16,5,2,15,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,3
10007334,3,1,21,2,70,10,16,5,2,15,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,3
10007334,3,1,70,2,1,12,16,4,2,15,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,3
10021406,1,1,1,1,73,10,17,4,2,47,1,1,4,1,11,11,5,0,15,30,4
10021406,1,1,73,1,11,1,17,5,2,47,1,1,4,1,11,11,5,0,15,30,4
10021406,1,1,11,1,71,10,17,5,2,47,1,1,4,1,11,11,5,0,15,30,4
10021406,1,1,71,1,1,12,17,4,2,47,1,1,4,1,11,11,5,0,15,30,4
10021406,1,1,1,1,42,7,17,2,2,47,1,1,4,1,11,11,5,0,15,30,4
10021406,1,1,42,1,71,10,17,5,2,47,1,1,4,1,11,11,5,0,15,30,4
10021406,1,1,71,1,1,12,17,4,2,47,1,1,4,1,11,11,5,0,15,30,4
10021406,1,1,1,1,73,10,17,4,2,47,1,1,4,1,11,11,5,0,15,30,4
10021406,1,1,73,1,1,12,17,4,2,47,1,1,4,1,11,11,5,0,15,30,4
10021406,1,1,1,1,71,10,17,4,2,47,1,1,4,1,11,11,5,0,15,30,4
10021406,1,1,71,1,1,12,17,4,2,47,1,1,4,1,11,11,5,0,15,30,4
10021406,2,1,1,1,73,10,17,4,2,46,1,3,-1,3,7,5,0,0,11,25,4
10021406,2,1,73,1,11,1,17,5,2,46,1,3,-1,3,7,5,0,0,11,25,4
10021406,2,1,11,1,41,6,17,5,2,46,1,3,-1,3,7,5,0,0,11,25,4
10021406,2,1,41,1,71,10,17,5,2,46,1,3,-1,3,7,5,0,0,11,25,4
10021406,2,1,71,1,1,12,17,4,2,46,1,3,-1,3,7,5,0,0,11,25,4
10021406,3,1,1,-1,21,3,17,4,2,13,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,4
10021406,3,1,21,-1,72,10,17,5,2,13,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,4
10021406,3,1,72,-1,1,12,17,4,2,13,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,4
10021406,3,1,1,-1,65,7,17,4,2,13,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,4
10021406,3,1,65,-1,1,12,17,4,2,13,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,4
10021406,4,1,1,-1,21,3,17,4,2,8,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,4
10021406,4,1,21,-1,54,8,17,5,2,8,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,4
10021406,4,1,54,-1,1,12,17,3,2,8,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,4
10022047,1,2,1,1,11,1,14,1,1,60,1,2,-1,1,25,2,4,0,32,45,2
10022047,1,2,11,1,1,12,14,1,1,60,1,2,-1,1,25,2,4,0,32,45,2
10022047,2,2,1,1,73,10,14,4,1,63,-1,2,-1,-1,-1,9,0,0,-9,-1,2
10022047,2,2,73,1,42,7,14,5,1,63,-1,2,-1,-1,-1,9,0,0,-9,-1,2
10022047,2,2,42,1,41,6,14,5,1,63,-1,2,-1,-1,-1,9,0,0,-9,-1,2
