HOUSEID,PERSONID,WHYFROM,TRIPPURP,WHYTRP1S,WHYTO,HHFAMINC,WRKCOUNT,URBRUR,R_AGE,DRIVER,WRKTRANS,NWALKTRP,NBIKETRP,CARSHARE,TIMETOWK,WKFMHMXX,SCHTRN1,SCHTRN2,DELIVER,CNTTDTR,GCDWORK,DISTTOWK17,DISTTOSC17,BIKE,CAR,BUS,TRAIN,WEBUSE17,HHSIZE
30003254,2,11,NHB,30,18,7,1,1,28,1,3,1,0,0,28,-1,-1,-1,1,7,11.18,15.03,-9,5,1,5,5,1,2
30003254,2,18,HBO,1,1,7,1,1,28,1,3,1,0,0,28,-1,-1,-1,1,7,11.18,15.03,-9,5,1,5,5,1,2
30003254,2,1,HBSHOP,80,13,7,1,1,28,1,3,1,0,0,28,-1,-1,-1,1,7,11.18,15.03,-9,5,1,5,5,1,2
30003254,2,13,HBSHOP,1,1,7,1,1,28,1,3,1,0,0,28,-1,-1,-1,1,7,11.18,15.03,-9,5,1,5,5,1,2
30005355,1,16,HBSOCREC,1,1,3,0,1,54,1,-1,0,7,0,-1,-1,-1,-1,1,3,-9,-9,-9,5,1,5,5,1,1
30005355,1,1,HBSHOP,80,13,3,0,1,54,1,-1,0,7,0,-1,-1,-1,-1,1,3,-9,-9,-9,5,1,5,5,1,1
30005355,1,13,HBSHOP,1,1,3,0,1,54,1,-1,0,7,0,-1,-1,-1,-1,1,3,-9,-9,-9,5,1,5,5,1,1
30005927,1,1,HBO,1,1,3,1,1,44,1,-1,21,0,0,-1,-1,-1,-1,0,3,-9,-9,-9,2,1,5,5,1,3
30005927,1,1,HBO,1,1,3,1,1,44,1,-1,21,0,0,-1,-1,-1,-1,0,3,-9,-9,-9,2,1,5,5,1,3
30005927,1,1,HBO,1,1,3,1,1,44,1,-1,21,0,0,-1,-1,-1,-1,0,3,-9,-9,-9,2,1,5,5,1,3
30005927,2,1,HBO,1,1,3,1,1,40,1,4,7,0,0,15,-1,-1,-1,0,3,4.67,4.83,-9,2,1,5,5,1,3
30005927,2,1,HBO,1,1,3,1,1,40,1,4,7,0,0,15,-1,-1,-1,0,3,4.67,4.83,-9,2,1,5,5,1,3
30005927,2,1,HBO,1,1,3,1,1,40,1,4,7,0,0,15,-1,-1,-1,0,3,4.67,4.83,-9,2,1,5,5,1,3
30005927,3,1,HBO,1,1,3,1,1,14,-1,-1,28,0,-1,-1,-1,3,3,-1,3,-9,-9,2.01,2,1,5,5,1,3
30005927,3,1,HBO,1,1,3,1,1,14,-1,-1,28,0,-1,-1,-1,3,3,-1,3,-9,-9,2.01,2,1,5,5,1,3
30005927,3,1,HBO,1,1,3,1,1,14,-1,-1,28,0,-1,-1,-1,3,3,-1,3,-9,-9,2.01,2,1,5,5,1,3
30007984,1,1,HBO,30,18,2,0,1,65,1,-1,10,0,0,-1,-1,-1,-1,0,4,-9,-9,-9,5,5,3,5,1,1
30007984,1,18,HBO,1,1,2,0,1,65,1,-1,10,0,0,-1,-1,-1,-1,0,4,-9,-9,-9,5,5,3,5,1,1
30007984,1,1,HBSHOP,80,13,2,0,1,65,1,-1,10,0,0,-1,-1,-1,-1,0,4,-9,-9,-9,5,5,3,5,1,1
30007984,1,13,HBSHOP,1,1,2,0,1,65,1,-1,10,0,0,-1,-1,-1,-1,0,4,-9,-9,-9,5,5,3,5,1,1
30008132,1,1,HBSOCREC,50,16,2,0,1,70,1,-1,6,0,0,-1,-1,-1,-1,2,9,-9,-9,-9,-9,5,5,5,1,1
30008132,1,16,NHB,50,17,2,0,1,70,1,-1,6,0,0,-1,-1,-1,-1,2,9,-9,-9,-9,-9,5,5,5,1,1
30008132,1,17,NHB,40,12,2,0,1,70,1,-1,6,0,0,-1,-1,-1,-1,2,9,-9,-9,-9,-9,5,5,5,1,1
30008132,1,12,NHB,20,19,2,0,1,70,1,-1,6,0,0,-1,-1,-1,-1,2,9,-9,-9,-9,-9,5,5,5,1,1
30008132,1,19,NHB,50,17,2,0,1,70,1,-1,6,0,0,-1,-1,-1,-1,2,9,-9,-9,-9,-9,5,5,5,1,1
30008132,1,17,NHB,97,5,2,0,1,70,1,-1,6,0,0,-1,-1,-1,-1,2,9,-9,-9,-9,-9,5,5,5,1,1
30008132,1,5,NHB,40,11,2,0,1,70,1,-1,6,0,0,-1,-1,-1,-1,2,9,-9,-9,-9,-9,5,5,5,1,1
30008132,1,11,NHB,40,11,2,0,1,70,1,-1,6,0,0,-1,-1,-1,-1,2,9,-9,-9,-9,-9,5,5,5,1,1
30008132,1,11,HBSHOP,1,1,2,0,1,70,1,-1,6,0,0,-1,-1,-1,-1,2,9,-9,-9,-9,-9,5,5,5,1,1
30008783,1,1,HBSHOP,40,11,7,0,2,65,1,-1,0,0,0,-1,-1,-1,-1,1,8,-9,-9,-9,5,1,5,5,1,2
30008783,1,11,NHB,20,19,7,0,2,65,1,-1,0,0,0,-1,-1,-1,-1,1,8,-9,-9,-9,5,1,5,5,1,2
30008783,1,19,NHB,30,18,7,0,2,65,1,-1,0,0,0,-1,-1,-1,-1,1,8,-9,-9,-9,5,1,5,5,1,2
30008783,1,18,NHB,40,11,7,0,2,65,1,-1,0,0,0,-1,-1,-1,-1,1,8,-9,-9,-9,5,1,5,5,1,2
30008783,1,11,NHB,40,11,7,0,2,65,1,-1,0,0,0,-1,-1,-1,-1,1,8,-9,-9,-9,5,1,5,5,1,2
30008783,1,11,NHB,40,11,7,0,2,65,1,-1,0,0,0,-1,-1,-1,-1,1,8,-9,-9,-9,5,1,5,5,1,2
30008783,1,11,NHB,80,13,7,0,2,65,1,-1,0,0,0,-1,-1,-1,-1,1,8,-9,-9,-9,5,1,5,5,1,2
30008783,1,13,HBSHOP,1,1,7,0,2,65,1,-1,0,0,0,-1,-1,-1,-1,1,8,-9,-9,-9,5,1,5,5,1,2
30008783,2,1,HBO,30,18,7,0,2,64,1,-1,0,0,0,-1,-1,-1,-1,1,5,-9,-9,-9,5,1,5,5,1,2
30008783,2,18,NHB,40,11,7,0,2,64,1,-1,0,0,0,-1,-1,-1,-1,1,5,-9,-9,-9,5,1,5,5,1,2
30008783,2,11,HBSHOP,1,1,7,0,2,64,1,-1,0,0,0,-1,-1,-1,-1,1,5,-9,-9,-9,5,1,5,5,1,2
30008783,2,1,HBO,97,5,7,0,2,64,1,-1,0,0,0,-1,-1,-1,-1,1,5,-9,-9,-9,5,1,5,5,1,2
30008783,2,5,HBO,1,1,7,0,2,64,1,-1,0,0,0,-1,-1,-1,-1,1,5,-9,-9,-9,5,1,5,5,1,2
30009843,1,1,HBW,10,3,5,1,1,23,1,3,4,0,0,17,4,-1,-1,16,3,2596.27,3129.79,-9,3,1,5,5,1,1
30009843,1,3,NHB,40,11,5,1,1,23,1,3,4,0,0,17,4,-1,-1,16,3,2596.27,3129.79,-9,3,1,5,5,1,1
30009843,1,11,HBSHOP,1,1,5,1,1,23,1,3,4,0,0,17,4,-1,-1,16,3,2596.27,3129.79,-9,3,1,5,5,1,1
