R_AGE,DRIVER,TIMETOWK,NBIKETRP,NWALKTRP,URBRUR,WHYTRP1S,HOUSEID,GCDWORK,PERSONID,WHYTO,WHYFROM,HHSIZE,WRKTRANS,CNTTDTR,WRKCOUNT,HHFAMINC,WEBUSE,TRIPPURP,WKFMHMXX,HHFAMINC2
47,0,30,0,5,0,4,10021406,11,1,10,3,4,0,11,2,4,1,1,2,2
47,0,30,0,5,0,3,10021406,11,1,3,10,4,0,11,2,4,1,2,2,2
47,0,30,0,5,0,1,10021406,11,1,1,0,4,0,11,2,4,1,0,2,2
47,0,30,0,5,0,4,10021406,11,1,10,2,4,0,11,2,4,1,1,2,2
47,0,30,0,5,0,3,10021406,11,1,3,10,4,0,11,2,4,1,2,2,2
47,0,30,0,5,0,4,10021406,11,1,12,0,4,0,11,2,4,1,2,2,2
47,0,30,0,5,0,3,10021406,11,1,3,12,4,0,11,2,4,1,2,2,2
47,0,30,0,5,0,4,10021406,11,1,10,0,4,0,11,2,4,1,2,2,2
47,0,30,0,5,0,3,10021406,11,1,3,10,4,0,11,2,4,1,2,2,2
46,0,25,0,0,0,4,10021406,7,2,12,0,4,3,5,2,4,4,2,0,2
46,0,25,0,0,0,2,10021406,7,2,2,12,4,3,5,2,4,4,1,0,2
46,0,25,0,0,0,5,10021406,7,2,6,3,4,3,5,2,4,4,1,0,2
46,0,25,0,0,0,4,10021406,7,2,10,6,4,3,5,2,4,4,1,0,2
46,0,25,0,0,0,3,10021406,7,2,3,10,4,3,5,2,4,4,2,0,2
13,1,-1,-1,-1,0,8,10021406,-1,3,13,0,4,1,5,2,4,0,2,0,2
13,1,-1,-1,-1,0,4,10021406,-1,3,19,13,4,1,5,2,4,0,1,0,2
13,1,-1,-1,-1,0,3,10021406,-1,3,3,19,4,1,5,2,4,0,2,0,2
13,1,-1,-1,-1,0,1,10021406,-1,3,20,0,4,1,5,2,4,0,2,0,2
13,1,-1,-1,-1,0,3,10021406,-1,3,3,20,4,1,5,2,4,0,2,0,2
8,1,-1,-1,-1,0,8,10021406,-1,4,13,0,4,1,3,2,4,0,2,0,2
8,1,-1,-1,-1,0,6,10021406,-1,4,7,13,4,1,3,2,4,0,1,0,2
8,1,-1,-1,-1,0,3,10021406,-1,4,3,7,4,1,3,2,4,0,3,0,2
60,0,45,0,4,1,2,10022047,25,1,2,0,2,0,2,1,5,3,4,0,2
60,0,45,0,4,1,3,10022047,25,1,3,3,2,0,2,1,5,3,4,0,2
