R_AGE,DRIVER,TIMETOWK,NBIKETRP,NWALKTRP,URBRUR,WHYTRP1S,HOUSEID,GCDWORK,PERSONID,WHYTO,WHYFROM,HHSIZE,WRKTRANS,CNTTDTR,WRKCOUNT,HHFAMINC,WEBUSE,WEBUSE.1,TRIPPURP,WKFMHMXX,HHFAMINC2
70,0,-1,0,6,0,0,30008132,-9.0,1,0,4,1,0,9,0,4,1,0,1,0,0
70,0,-1,0,6,0,1,30008132,-9.0,1,5,1,1,0,9,0,4,1,0,1,0,0
70,0,-1,0,6,0,6,30008132,-9.0,1,10,5,1,0,9,0,4,1,0,1,0,0
70,0,-1,0,6,0,0,30008132,-9.0,1,0,10,1,0,9,0,4,1,0,1,0,0
70,0,-1,0,6,0,7,30008132,-9.0,1,11,1,1,0,9,0,4,1,0,1,0,0
70,0,-1,0,6,0,1,30008132,-9.0,1,2,11,1,0,9,0,4,1,0,1,0,0
70,0,-1,0,6,0,1,30008132,-9.0,1,2,3,1,0,9,0,4,1,0,1,0,0
70,0,-1,0,6,0,2,30008132,-9.0,1,3,3,1,0,9,0,4,1,0,2,0,0
65,0,-1,0,0,1,1,30008783,-9.0,1,2,0,2,0,8,0,3,1,0,2,0,2
65,0,-1,0,0,1,6,30008783,-9.0,1,10,3,2,0,8,0,3,1,0,1,0,2
65,0,-1,0,0,1,5,30008783,-9.0,1,9,10,2,0,8,0,3,1,0,1,0,2
65,0,-1,0,0,1,1,30008783,-9.0,1,2,9,2,0,8,0,3,1,0,1,0,2
65,0,-1,0,0,1,1,30008783,-9.0,1,2,3,2,0,8,0,3,1,0,1,0,2
65,0,-1,0,0,1,1,30008783,-9.0,1,2,3,2,0,8,0,3,1,0,1,0,2
65,0,-1,0,0,1,3,30008783,-9.0,1,7,3,2,0,8,0,3,1,0,1,0,2
65,0,-1,0,0,1,2,30008783,-9.0,1,3,7,2,0,8,0,3,1,0,2,0,2
64,0,-1,0,0,1,5,30008783,-9.0,2,9,0,2,0,5,0,3,1,0,3,0,2
64,0,-1,0,0,1,1,30008783,-9.0,2,2,9,2,0,5,0,3,1,0,1,0,2
64,0,-1,0,0,1,2,30008783,-9.0,2,3,3,2,0,5,0,3,1,0,2,0,2
64,0,-1,0,0,1,7,30008783,-9.0,2,11,0,2,0,5,0,3,1,0,3,0,2
64,0,-1,0,0,1,2,30008783,-9.0,2,3,11,2,0,5,0,3,1,0,3,0,2
23,0,17,0,4,0,8,30009843,2596.27,1,12,0,1,1,3,1,0,1,0,4,1,0
23,0,17,0,4,0,1,30009843,2596.27,1,2,12,1,1,3,1,0,1,0,1,1,0
23,0,17,0,4,0,2,30009843,2596.27,1,3,3,1,1,3,1,0,1,0,2,1,0
