R_AGE,DRIVER,TIMETOWK,NBIKETRP,NWALKTRP,URBRUR,WHYTRP1S,HOUSEID,GCDWORK,PERSONID,WHYTO,HHFAMINC2,WHYFROM,HHSIZE,WRKTRANS,CNTTDTR,WRKCOUNT,HHFAMINC,WEBUSE,TRIPPURP,WKFMHMXX
77,Yes,-1,0,3,Urban,Family,10004007,-1,1,AttorneyAccountant,0,BuyGoods,1,Skip,10,0,10K-15K,OnceMonth,NHB,Skip
77,Yes,-1,0,3,Urban,Shopping,10004007,-1,1,BuyGoods,0,AttorneyAccountant,1,Skip,10,0,10K-15K,OnceMonth,NHB,Skip
77,Yes,-1,0,3,Urban,Shopping,10004007,-1,1,BuyGoods,0,BuyGoods,1,Skip,10,0,10K-15K,OnceMonth,NHB,Skip
77,Yes,-1,0,3,Urban,Shopping,10004007,-1,1,BuyGoods,0,BuyGoods,1,Skip,10,0,10K-15K,OnceMonth,NHB,Skip
77,Yes,-1,0,3,Urban,EatMeal,10004007,-1,1,GetMeal,0,BuyGoods,1,Skip,10,0,10K-15K,OnceMonth,NHB,Skip
77,Yes,-1,0,3,Urban,ServePassenger,10004007,-1,1,DropSomeoneOff,0,GetMeal,1,Skip,10,0,10K-15K,OnceMonth,NHB,Skip
77,Yes,-1,0,3,Urban,ReturnHome,10004007,-1,1,Home,0,DropSomeoneOff,1,Skip,10,0,10K-15K,OnceMonth,HBO,Skip
77,Yes,-1,0,3,Urban,Other,10004007,-1,1,Other,0,Home,1,Skip,10,0,10K-15K,OnceMonth,HBO,Skip
77,Yes,-1,0,3,Urban,ReturnHome,10004007,-1,1,Home,0,Other,1,Skip,10,0,10K-15K,OnceMonth,HBO,Skip
56,Yes,3,0,2,Urban,Shopping,10007334,1,1,BuyGas,2,Home,3,Other,7,2,75K-80K,SeveralWeek,HBSHOP,OnceMonthMore
56,Yes,3,0,2,Urban,WorkRelated,10007334,1,1,OtherWorkRelated,2,BuyGas,3,Other,7,2,75K-80K,SeveralWeek,NHB,OnceMonthMore
56,Yes,3,0,2,Urban,ToWork,10007334,1,1,GoToWork,2,OtherWorkRelated,3,Other,7,2,75K-80K,SeveralWeek,NHB,OnceMonthMore
56,Yes,3,0,2,Urban,Family,10007334,1,1,BuyService,2,GoToWork,3,Other,7,2,75K-80K,SeveralWeek,NHB,OnceMonthMore
56,Yes,3,0,2,Urban,Shopping,10007334,1,1,BuyGoods,2,BuyService,3,Other,7,2,75K-80K,SeveralWeek,NHB,OnceMonthMore
56,Yes,3,0,2,Urban,ReturnWork,10007334,1,1,ReturnToWork,2,BuyGoods,3,Other,7,2,75K-80K,SeveralWeek,NHB,OnceMonthMore
56,Yes,3,0,2,Urban,ReturnHome,10007334,1,1,Home,2,ReturnToWork,3,Other,7,2,75K-80K,SeveralWeek,HBW,OnceMonthMore
45,Yes,35,0,0,Urban,Other,10007334,6,2,SchoolOrReligiousActivity,2,Home,3,Car,6,2,75K-80K,OnceWeek,HBO,Skip
45,Yes,35,0,0,Urban,ReturnHome,10007334,6,2,Home,2,SchoolOrReligiousActivity,3,Car,6,2,75K-80K,OnceWeek,HBO,Skip
45,Yes,35,0,0,Urban,ToWork,10007334,6,2,GoToWork,2,Home,3,Car,6,2,75K-80K,OnceWeek,HBW,Skip
45,Yes,35,0,0,Urban,ReturnHome,10007334,6,2,Home,2,GoToWork,3,Car,6,2,75K-80K,OnceWeek,HBW,Skip
45,Yes,35,0,0,Urban,ServePassenger,10007334,6,2,PickUpSomeone,2,Home,3,Car,6,2,75K-80K,OnceWeek,HBO,Skip
45,Yes,35,0,0,Urban,ReturnHome,10007334,6,2,Home,2,PickUpSomeone,3,Car,6,2,75K-80K,OnceWeek,HBO,Skip
15,No,-1,-1,-1,Urban,School,10007334,-1,3,GoSchoolAsStudent,2,Home,3,Skip,4,2,75K-80K,Skip,HBO,Skip
15,No,-1,-1,-1,Urban,School,10007334,-1,3,GoSchoolAsStudent,2,GoSchoolAsStudent,3,Skip,4,2,75K-80K,Skip,NHB,Skip
15,No,-1,-1,-1,Urban,ServePassenger,10007334,-1,3,TransportSomeone,2,GoSchoolAsStudent,3,Skip,4,2,75K-80K,Skip,NHB,Skip
15,No,-1,-1,-1,Urban,ReturnHome,10007334,-1,3,Home,2,TransportSomeone,3,Skip,4,2,75K-80K,Skip,HBO,Skip
47,Yes,30,0,5,Urban,ServePassenger,10021406,11,1,DropSomeoneOff,2,Home,4,Car,11,2,80K-100K,AlmostEveryday,HBO,FewYear
47,Yes,30,0,5,Urban,ToWork,10021406,11,1,GoToWork,2,DropSomeoneOff,4,Car,11,2,80K-100K,AlmostEveryday,NHB,FewYear
47,Yes,30,0,5,Urban,ServePassenger,10021406,11,1,PickUpSomeone,2,GoToWork,4,Car,11,2,80K-100K,AlmostEveryday,NHB,FewYear
47,Yes,30,0,5,Urban,ReturnHome,10021406,11,1,Home,2,PickUpSomeone,4,Car,11,2,80K-100K,AlmostEveryday,HBO,FewYear
47,Yes,30,0,5,Urban,Family,10021406,11,1,BuyService,2,Home,4,Car,11,2,80K-100K,AlmostEveryday,HBSHOP,FewYear
47,Yes,30,0,5,Urban,ServePassenger,10021406,11,1,PickUpSomeone,2,BuyService,4,Car,11,2,80K-100K,AlmostEveryday,NHB,FewYear
47,Yes,30,0,5,Urban,ReturnHome,10021406,11,1,Home,2,PickUpSomeone,4,Car,11,2,80K-100K,AlmostEveryday,HBO,FewYear
47,Yes,30,0,5,Urban,ServePassenger,10021406,11,1,DropSomeoneOff,2,Home,4,Car,11,2,80K-100K,AlmostEveryday,HBO,FewYear
47,Yes,30,0,5,Urban,ReturnHome,10021406,11,1,Home,2,DropSomeoneOff,4,Car,11,2,80K-100K,AlmostEveryday,HBO,FewYear
47,Yes,30,0,5,Urban,ServePassenger,10021406,11,1,PickUpSomeone,2,Home,4,Car,11,2,80K-100K,AlmostEveryday,HBO,FewYear
47,Yes,30,0,5,Urban,ReturnHome,10021406,11,1,Home,2,PickUpSomeone,4,Car,11,2,80K-100K,AlmostEveryday,HBO,FewYear
46,Yes,25,0,0,Urban,ServePassenger,10021406,7,2,DropSomeoneOff,2,Home,4,SUV,5,2,80K-100K,OnceWeek,HBO,Skip
46,Yes,25,0,0,Urban,ToWork,10021406,7,2,GoToWork,2,DropSomeoneOff,4,SUV,5,2,80K-100K,OnceWeek,NHB,Skip
46,Yes,25,0,0,Urban,Shopping,10021406,7,2,BuyGoods,2,GoToWork,4,SUV,5,2,80K-100K,OnceWeek,NHB,Skip
46,Yes,25,0,0,Urban,ServePassenger,10021406,7,2,PickUpSomeone,2,BuyGoods,4,SUV,5,2,80K-100K,OnceWeek,NHB,Skip
46,Yes,25,0,0,Urban,ReturnHome,10021406,7,2,Home,2,PickUpSomeone,4,SUV,5,2,80K-100K,OnceWeek,HBO,Skip
13,Skip,-1,-1,-1,Urban,School,10021406,-1,3,GoSchoolAsStudent,2,Home,4,Skip,5,2,80K-100K,Skip,HBO,Skip
13,Skip,-1,-1,-1,Urban,ServePassenger,10021406,-1,3,TakeAndWait,2,GoSchoolAsStudent,4,Skip,5,2,80K-100K,Skip,NHB,Skip
13,Skip,-1,-1,-1,Urban,ReturnHome,10021406,-1,3,Home,2,TakeAndWait,4,Skip,5,2,80K-100K,Skip,HBO,Skip
13,Skip,-1,-1,-1,Urban,Family,10021406,-1,3,PTA,2,Home,4,Skip,5,2,80K-100K,Skip,HBO,Skip
13,Skip,-1,-1,-1,Urban,ReturnHome,10021406,-1,3,Home,2,PTA,4,Skip,5,2,80K-100K,Skip,HBO,Skip
8,Skip,-1,-1,-1,Urban,School,10021406,-1,4,GoSchoolAsStudent,2,Home,4,Skip,3,2,80K-100K,Skip,HBO,Skip
8,Skip,-1,-1,-1,Urban,SocialRecreation,10021406,-1,4,HangOut,2,GoSchoolAsStudent,4,Skip,3,2,80K-100K,Skip,NHB,Skip
8,Skip,-1,-1,-1,Urban,ReturnHome,10021406,-1,4,Home,2,HangOut,4,Skip,3,2,80K-100K,Skip,HBSOCREC,Skip
60,Yes,45,0,4,Rural,ToWork,10022047,25,1,GoToWork,2,Home,2,Car,2,1,65K-70K,SeveralWeek,HBW,Skip
60,Yes,45,0,4,Rural,ReturnHome,10022047,25,1,Home,2,GoToWork,2,Car,2,1,65K-70K,SeveralWeek,HBW,Skip
63,Yes,-1,0,0,Rural,ServePassenger,10022047,-1,2,DropSomeoneOff,2,Home,2,Skip,9,1,65K-70K,SeveralWeek,HBO,Skip
63,Yes,-1,0,0,Rural,Family,10022047,-1,2,BuyService,2,DropSomeoneOff,2,Skip,9,1,65K-70K,SeveralWeek,NHB,Skip
63,Yes,-1,0,0,Rural,Shopping,10022047,-1,2,BuyGoods,2,BuyService,2,Skip,9,1,65K-70K,SeveralWeek,NHB,Skip
63,Yes,-1,0,0,Rural,Shopping,10022047,-1,2,BuyGoods,2,BuyGoods,2,Skip,9,1,65K-70K,SeveralWeek,NHB,Skip
63,Yes,-1,0,0,Rural,Family,10022047,-1,2,BuyService,2,BuyGoods,2,Skip,9,1,65K-70K,SeveralWeek,NHB,Skip
63,Yes,-1,0,0,Rural,ReturnHome,10022047,-1,2,Home,2,BuyService,2,Skip,9,1,65K-70K,SeveralWeek,HBSHOP,Skip
63,Yes,-1,0,0,Rural,Shopping,10022047,-1,2,BuyGoods,2,Home,2,Skip,9,1,65K-70K,SeveralWeek,HBSHOP,Skip
63,Yes,-1,0,0,Rural,ServePassenger,10022047,-1,2,PickUpSomeone,2,BuyGoods,2,Skip,9,1,65K-70K,SeveralWeek,NHB,Skip
63,Yes,-1,0,0,Rural,ReturnHome,10022047,-1,2,Home,2,PickUpSomeone,2,Skip,9,1,65K-70K,SeveralWeek,HBO,Skip
56,Yes,-1,0,1,Urban,SocialRecreation,10031197,-1,1,VisitFriends,2,Home,1,Skip,2,0,50K-55K,Skip,HBSOCREC,Skip
56,Yes,-1,0,1,Urban,ReturnHome,10031197,-1,1,Home,2,VisitFriends,1,Skip,2,0,50K-55K,Skip,HBSOCREC,Skip
52,Yes,-1,0,5,Urban,Shopping,10035289,-1,1,BuyGoods,2,Home,2,Skip,4,1,80K-100K,AlmostEveryday,HBSHOP,Skip
52,Yes,-1,0,5,Urban,ReturnHome,10035289,-1,1,Home,2,BuyGoods,2,Skip,4,1,80K-100K,AlmostEveryday,HBSHOP,Skip
52,Yes,-1,0,5,Urban,SocialRecreation,10035289,-1,1,GoToGym,2,Home,2,Skip,4,1,80K-100K,AlmostEveryday,HBSOCREC,Skip
52,Yes,-1,0,5,Urban,ReturnHome,10035289,-1,1,Home,2,GoToGym,2,Skip,4,1,80K-100K,AlmostEveryday,HBSOCREC,Skip
54,Yes,50,0,0,Urban,ToWork,10035289,18,2,GoToWork,2,Home,2,SUV,4,1,80K-100K,AlmostEveryday,HBW,FewYear
54,Yes,50,0,0,Urban,WorkRelated,10035289,18,2,OtherWorkRelated,2,GoToWork,2,SUV,4,1,80K-100K,AlmostEveryday,NHB,FewYear
54,Yes,50,0,0,Urban,Shopping,10035289,18,2,BuyGoods,2,OtherWorkRelated,2,SUV,4,1,80K-100K,AlmostEveryday,NHB,FewYear
54,Yes,50,0,0,Urban,ReturnHome,10035289,18,2,Home,2,BuyGoods,2,SUV,4,1,80K-100K,AlmostEveryday,HBSHOP,FewYear
31,Yes,5,0,2,Urban,ToWork,10040322,5,1,GoToWork,2,Home,3,Car,4,2,50K-55K,SeveralWeek,HBW,Skip
31,Yes,5,0,2,Urban,ReturnHome,10040322,5,1,Home,2,GoToWork,3,Car,4,2,50K-55K,SeveralWeek,HBW,Skip
31,Yes,5,0,2,Urban,ReturnWork,10040322,5,1,ReturnToWork,2,Home,3,Car,4,2,50K-55K,SeveralWeek,HBW,Skip
31,Yes,5,0,2,Urban,ReturnHome,10040322,5,1,Home,2,ReturnToWork,3,Car,4,2,50K-55K,SeveralWeek,HBW,Skip
31,Yes,15,0,3,Urban,SocialRecreation,10040322,2,2,VisitFriends,2,Home,3,Car,2,2,50K-55K,AlmostEveryday,HBSOCREC,Skip
31,Yes,15,0,3,Urban,ReturnHome,10040322,2,2,Home,2,VisitFriends,3,Car,2,2,50K-55K,AlmostEveryday,HBSOCREC,Skip
