URBRUR,WKFMHMXX,GCDWORK,TRIPPURP,NBIKETRP,PERSONID,HHSIZE,CNTTDTR,R_AGE,HHFAMINC,DRIVER,WHYFROM,TIMETOWK,WHYTRP1S,HHFAMINC2,WHYTO,WEBUSE,WEBUSE,NWALKTRP,WRKCOUNT,HOUSEID,WRKTRANS
Urban,Skip,11.18,NHB,0,2,2,7,28,75K-100K,Yes,BuyGoods,28,Meals,High,BuyMeals,1,Daily,1,1,30003254,Car
Urban,Skip,11.18,NHB,0,2,2,7,28,75K-100K,Yes,BuyMeals,28,Shopping,High,BuyGoods,1,Daily,1,1,30003254,Car
Urban,Skip,11.18,NHB,0,2,2,7,28,75K-100K,Yes,BuyGoods,28,Medical,High,MedicalService,1,Daily,1,1,30003254,Car
Urban,Skip,11.18,HBO,0,2,2,7,28,75K-100K,Yes,MedicalService,28,Home,High,Home,1,Daily,1,1,30003254,Car
Urban,Skip,11.18,HBSHOP,0,2,2,7,28,75K-100K,Yes,Home,28,Meals,High,BuyMeals,1,Daily,1,1,30003254,Car
Urban,Skip,11.18,HBSHOP,0,2,2,7,28,75K-100K,Yes,BuyMeals,28,Home,High,Home,1,Daily,1,1,30003254,Car
Urban,Skip,-9.0,HBSOCREC,7,1,1,3,54,15K-25K,Yes,GoToGym,-1,Home,VeryLow,Home,1,Daily,0,0,30005355,Skip
Urban,Skip,-9.0,HBSHOP,7,1,1,3,54,15K-25K,Yes,Home,-1,Meals,VeryLow,BuyMeals,1,Daily,0,0,30005355,Skip
Urban,Skip,-9.0,HBSHOP,7,1,1,3,54,15K-25K,Yes,BuyMeals,-1,Home,VeryLow,Home,1,Daily,0,0,30005355,Skip
Urban,Skip,-9.0,HBO,0,1,3,3,44,15K-25K,Yes,Home,-1,Home,VeryLow,Home,1,Daily,21,1,30005927,Skip
Urban,Skip,-9.0,HBO,0,1,3,3,44,15K-25K,Yes,Home,-1,Home,VeryLow,Home,1,Daily,21,1,30005927,Skip
Urban,Skip,-9.0,HBO,0,1,3,3,44,15K-25K,Yes,Home,-1,Home,VeryLow,Home,1,Daily,21,1,30005927,Skip
Urban,Skip,4.67,HBO,0,2,3,3,40,15K-25K,Yes,Home,15,Home,VeryLow,Home,1,Daily,7,1,30005927,SUV
Urban,Skip,4.67,HBO,0,2,3,3,40,15K-25K,Yes,Home,15,Home,VeryLow,Home,1,Daily,7,1,30005927,SUV
Urban,Skip,4.67,HBO,0,2,3,3,40,15K-25K,Yes,Home,15,Home,VeryLow,Home,1,Daily,7,1,30005927,SUV
Urban,Skip,-9.0,HBO,0,3,3,3,14,15K-25K,Skip,Home,-1,Home,VeryLow,Home,1,Daily,28,1,30005927,Skip
Urban,Skip,-9.0,HBO,0,3,3,3,14,15K-25K,Skip,Home,-1,Home,VeryLow,Home,1,Daily,28,1,30005927,Skip
Urban,Skip,-9.0,HBO,0,3,3,3,14,15K-25K,Skip,Home,-1,Home,VeryLow,Home,1,Daily,28,1,30005927,Skip
Urban,Skip,-9.0,HBO,0,1,1,4,65,10K-15K,Yes,Home,-1,Medical,ExtremelyLow,MedicalService,1,Daily,10,0,30007984,Skip
Urban,Skip,-9.0,HBO,0,1,1,4,65,10K-15K,Yes,MedicalService,-1,Home,ExtremelyLow,Home,1,Daily,10,0,30007984,Skip
Urban,Skip,-9.0,HBSHOP,0,1,1,4,65,10K-15K,Yes,Home,-1,Meals,ExtremelyLow,BuyMeals,1,Daily,10,0,30007984,Skip
Urban,Skip,-9.0,HBSHOP,0,1,1,4,65,10K-15K,Yes,BuyMeals,-1,Home,ExtremelyLow,Home,1,Daily,10,0,30007984,Skip
Urban,Skip,-9.0,HBSOCREC,0,1,1,9,70,10K-15K,Yes,Home,-1,SocialRecreation,ExtremelyLow,GoToGym,1,Daily,6,0,30008132,Skip
Urban,Skip,-9.0,NHB,0,1,1,9,70,10K-15K,Yes,GoToGym,-1,SocialRecreation,ExtremelyLow,VisitFriends,1,Daily,6,0,30008132,Skip
Urban,Skip,-9.0,NHB,0,1,1,9,70,10K-15K,Yes,VisitFriends,-1,Shopping,ExtremelyLow,BuyService,1,Daily,6,0,30008132,Skip
Urban,Skip,-9.0,NHB,0,1,1,9,70,10K-15K,Yes,BuyService,-1,SchoolOrReligious,ExtremelyLow,Religious,1,Daily,6,0,30008132,Skip
Urban,Skip,-9.0,NHB,0,1,1,9,70,10K-15K,Yes,Religious,-1,SocialRecreation,ExtremelyLow,VisitFriends,1,Daily,6,0,30008132,Skip
Urban,Skip,-9.0,NHB,0,1,1,9,70,10K-15K,Yes,VisitFriends,-1,Other,ExtremelyLow,Volunteer,1,Daily,6,0,30008132,Skip
Urban,Skip,-9.0,NHB,0,1,1,9,70,10K-15K,Yes,Volunteer,-1,Shopping,ExtremelyLow,BuyGoods,1,Daily,6,0,30008132,Skip
Urban,Skip,-9.0,NHB,0,1,1,9,70,10K-15K,Yes,BuyGoods,-1,Shopping,ExtremelyLow,BuyGoods,1,Daily,6,0,30008132,Skip
Urban,Skip,-9.0,HBSHOP,0,1,1,9,70,10K-15K,Yes,BuyGoods,-1,Home,ExtremelyLow,Home,1,Daily,6,0,30008132,Skip
Rural,Skip,-9.0,HBSHOP,0,1,2,8,65,75K-100K,Yes,Home,-1,Shopping,High,BuyGoods,1,Daily,0,0,30008783,Skip
Rural,Skip,-9.0,NHB,0,1,2,8,65,75K-100K,Yes,BuyGoods,-1,SchoolOrReligious,High,Religious,1,Daily,0,0,30008783,Skip
Rural,Skip,-9.0,NHB,0,1,2,8,65,75K-100K,Yes,Religious,-1,Medical,High,MedicalService,1,Daily,0,0,30008783,Skip
Rural,Skip,-9.0,NHB,0,1,2,8,65,75K-100K,Yes,MedicalService,-1,Shopping,High,BuyGoods,1,Daily,0,0,30008783,Skip
Rural,Skip,-9.0,NHB,0,1,2,8,65,75K-100K,Yes,BuyGoods,-1,Shopping,High,BuyGoods,1,Daily,0,0,30008783,Skip
Rural,Skip,-9.0,NHB,0,1,2,8,65,75K-100K,Yes,BuyGoods,-1,Shopping,High,BuyGoods,1,Daily,0,0,30008783,Skip
Rural,Skip,-9.0,NHB,0,1,2,8,65,75K-100K,Yes,BuyGoods,-1,Meals,High,BuyMeals,1,Daily,0,0,30008783,Skip
Rural,Skip,-9.0,HBSHOP,0,1,2,8,65,75K-100K,Yes,BuyMeals,-1,Home,High,Home,1,Daily,0,0,30008783,Skip
Rural,Skip,-9.0,HBO,0,2,2,5,64,75K-100K,Yes,Home,-1,Medical,High,MedicalService,1,Daily,0,0,30008783,Skip
Rural,Skip,-9.0,NHB,0,2,2,5,64,75K-100K,Yes,MedicalService,-1,Shopping,High,BuyGoods,1,Daily,0,0,30008783,Skip
Rural,Skip,-9.0,HBSHOP,0,2,2,5,64,75K-100K,Yes,BuyGoods,-1,Home,High,Home,1,Daily,0,0,30008783,Skip
Rural,Skip,-9.0,HBO,0,2,2,5,64,75K-100K,Yes,Home,-1,Other,High,Volunteer,1,Daily,0,0,30008783,Skip
Rural,Skip,-9.0,HBO,0,2,2,5,64,75K-100K,Yes,Volunteer,-1,Home,High,Home,1,Daily,0,0,30008783,Skip
Urban,OnceMonthMore,2596.27,HBW,0,1,1,3,23,35K-50K,Yes,Home,17,WorkRelated,Low,Work,1,Daily,4,1,30009843,Car
Urban,OnceMonthMore,2596.27,NHB,0,1,1,3,23,35K-50K,Yes,Work,17,Shopping,Low,BuyGoods,1,Daily,4,1,30009843,Car
Urban,OnceMonthMore,2596.27,HBSHOP,0,1,1,3,23,35K-50K,Yes,BuyGoods,17,Home,Low,Home,1,Daily,4,1,30009843,Car
Urban,Skip,-9.0,HBSHOP,0,1,1,2,65,10K-15K,No,Home,-1,Shopping,ExtremelyLow,BuyService,5,Never,0,0,30010005,Skip
Urban,Skip,-9.0,HBSHOP,0,1,1,2,65,10K-15K,No,BuyService,-1,Home,ExtremelyLow,Home,5,Never,0,0,30010005,Skip
Urban,Skip,-9.0,HBSHOP,0,1,2,4,71,35K-50K,Yes,Home,-1,Meals,Low,BuyMeals,1,Daily,0,0,30011070,Skip
Urban,Skip,-9.0,NHB,0,1,2,4,71,35K-50K,Yes,BuyMeals,-1,Shopping,Low,BuyService,1,Daily,0,0,30011070,Skip
Urban,Skip,-9.0,NHB,0,1,2,4,71,35K-50K,Yes,BuyService,-1,Shopping,Low,Errands,1,Daily,0,0,30011070,Skip
Urban,Skip,-9.0,HBO,0,1,2,4,71,35K-50K,Yes,Errands,-1,Home,Low,Home,1,Daily,0,0,30011070,Skip
Urban,Skip,-9.0,HBSHOP,0,2,2,4,70,35K-50K,Yes,Home,-1,Meals,Low,BuyMeals,1,Daily,0,0,30011070,Skip
Urban,Skip,-9.0,NHB,0,2,2,4,70,35K-50K,Yes,BuyMeals,-1,Shopping,Low,BuyService,1,Daily,0,0,30011070,Skip
Urban,Skip,-9.0,NHB,0,2,2,4,70,35K-50K,Yes,BuyService,-1,Shopping,Low,Errands,1,Daily,0,0,30011070,Skip
Urban,Skip,-9.0,HBO,0,2,2,4,70,35K-50K,Yes,Errands,-1,Home,Low,Home,1,Daily,0,0,30011070,Skip
Urban,Skip,5.33,HBW,2,1,2,2,48,15K-25K,Yes,Home,10,WorkRelated,VeryLow,Work,1,Daily,2,2,30014360,Car
Urban,Skip,5.33,HBW,2,1,2,2,48,15K-25K,Yes,Work,10,Home,VeryLow,Home,1,Daily,2,2,30014360,Car
Urban,Skip,1.49,HBW,2,2,2,2,48,15K-25K,Yes,Home,10,WorkRelated,VeryLow,Work,1,Daily,2,2,30014360,Car
Urban,Skip,1.49,HBW,2,2,2,2,48,15K-25K,Yes,Work,10,Home,VeryLow,Home,1,Daily,2,2,30014360,Car
Urban,Skip,-9.0,NHB,0,1,1,3,65,25K-35K,Yes,GoToGym,-1,Shopping,Low,BuyGoods,1,Daily,3,0,30014500,Skip
Urban,Skip,-9.0,NHB,0,1,1,3,65,25K-35K,Yes,BuyGoods,-1,Shopping,Low,BuyGoods,1,Daily,3,0,30014500,Skip
Urban,Skip,-9.0,HBSHOP,0,1,1,3,65,25K-35K,Yes,BuyGoods,-1,Home,Low,Home,1,Daily,3,0,30014500,Skip
Urban,Skip,-9.0,HBO,0,1,1,2,92,100K-125K,Yes,Home,-1,Home,High,Home,1,Daily,20,0,30017207,Skip
Urban,Skip,-9.0,HBO,0,1,1,2,92,100K-125K,Yes,Home,-1,Home,High,Home,1,Daily,20,0,30017207,Skip
Urban,Skip,-9.0,HBSHOP,0,1,2,2,53,125K-150K,Yes,Home,-1,Shopping,High,BuyGoods,1,Daily,7,1,30017875,Skip
Urban,Skip,-9.0,HBSHOP,0,1,2,2,53,125K-150K,Yes,BuyGoods,-1,Home,High,Home,1,Daily,7,1,30017875,Skip
Urban,Skip,0.39,HBW,2,2,2,2,53,125K-150K,Yes,Home,-8,WorkRelated,High,WorkRelated,1,Daily,0,1,30017875,Car
Urban,Skip,0.39,HBW,2,2,2,2,53,125K-150K,Yes,WorkRelated,-8,Home,High,Home,1,Daily,0,1,30017875,Car
Urban,Skip,-9.0,HBO,0,1,1,11,69,35K-50K,Yes,Home,-1,SchoolOrReligious,Low,Religious,1,Daily,4,0,30018139,Skip
Urban,Skip,-9.0,NHB,0,1,1,11,69,35K-50K,Yes,Religious,-1,TransportSomeone,Low,PickUpOrDropSomeone,1,Daily,4,0,30018139,Skip
Urban,Skip,-9.0,NHB,0,1,1,11,69,35K-50K,Yes,PickUpOrDropSomeone,-1,SocialRecreation,Low,VisitFriends,1,Daily,4,0,30018139,Skip
Urban,Skip,-9.0,NHB,0,1,1,11,69,35K-50K,Yes,VisitFriends,-1,TransportSomeone,Low,PickUpOrDropSomeone,1,Daily,4,0,30018139,Skip
Urban,Skip,-9.0,NHB,0,1,1,11,69,35K-50K,Yes,PickUpOrDropSomeone,-1,Shopping,Low,BuyService,1,Daily,4,0,30018139,Skip
Urban,Skip,-9.0,NHB,0,1,1,11,69,35K-50K,Yes,BuyService,-1,Shopping,Low,BuyGoods,1,Daily,4,0,30018139,Skip
Urban,Skip,-9.0,NHB,0,1,1,11,69,35K-50K,Yes,BuyGoods,-1,Shopping,Low,Errands,1,Daily,4,0,30018139,Skip
Urban,Skip,-9.0,HBO,0,1,1,11,69,35K-50K,Yes,Errands,-1,Home,Low,Home,1,Daily,4,0,30018139,Skip
Urban,Skip,-9.0,HBSHOP,0,1,1,11,69,35K-50K,Yes,Home,-1,Shopping,Low,BuyGoods,1,Daily,4,0,30018139,Skip
Urban,Skip,-9.0,NHB,0,1,1,11,69,35K-50K,Yes,BuyGoods,-1,Shopping,Low,BuyGoods,1,Daily,4,0,30018139,Skip
Urban,Skip,-9.0,HBSHOP,0,1,1,11,69,35K-50K,Yes,BuyGoods,-1,Home,Low,Home,1,Daily,4,0,30018139,Skip
Urban,Skip,3.77,HBSHOP,0,1,5,4,37,75K-100K,Yes,Home,8,Shopping,High,BuyGoods,1,Daily,14,1,30020036,Car
Urban,Skip,3.77,NHB,0,1,5,4,37,75K-100K,Yes,BuyGoods,8,Shopping,High,BuyGoods,1,Daily,14,1,30020036,Car
Urban,Skip,3.77,NHB,0,1,5,4,37,75K-100K,Yes,BuyGoods,8,Shopping,High,BuyGoods,1,Daily,14,1,30020036,Car
Urban,Skip,3.77,HBSHOP,0,1,5,4,37,75K-100K,Yes,BuyGoods,8,Home,High,Home,1,Daily,14,1,30020036,Car
Urban,Skip,-9.0,HBSHOP,0,3,5,4,9,75K-100K,Skip,Home,-1,Shopping,High,BuyGoods,1,Daily,2,1,30020036,Skip
Urban,Skip,-9.0,NHB,0,3,5,4,9,75K-100K,Skip,BuyGoods,-1,Shopping,High,BuyGoods,1,Daily,2,1,30020036,Skip
Urban,Skip,-9.0,NHB,0,3,5,4,9,75K-100K,Skip,BuyGoods,-1,Shopping,High,BuyGoods,1,Daily,2,1,30020036,Skip
Urban,Skip,-9.0,HBSHOP,0,3,5,4,9,75K-100K,Skip,BuyGoods,-1,Home,High,Home,1,Daily,2,1,30020036,Skip
Urban,Skip,-9.0,HBSHOP,0,5,5,4,67,75K-100K,No,Home,-1,Shopping,High,BuyGoods,1,Daily,0,1,30020036,Skip
Urban,Skip,-9.0,NHB,0,5,5,4,67,75K-100K,No,BuyGoods,-1,Shopping,High,BuyGoods,1,Daily,0,1,30020036,Skip
Urban,Skip,-9.0,NHB,0,5,5,4,67,75K-100K,No,BuyGoods,-1,Shopping,High,BuyGoods,1,Daily,0,1,30020036,Skip
Urban,Skip,-9.0,HBSHOP,0,5,5,4,67,75K-100K,No,BuyGoods,-1,Home,High,Home,1,Daily,0,1,30020036,Skip
Urban,Skip,7.25,HBSHOP,0,1,2,5,35,75K-100K,Yes,Home,45,Shopping,High,BuyGoods,1,Daily,7,2,30020822,Car
