URBRUR,WKFMHMXX,GCDWORK,TRIPPURP,NBIKETRP,PERSONID,HHSIZE,CNTTDTR,R_AGE,HHFAMINC,DRIVER,WHYFROM,TIMETOWK,WHYTRP1S,HHFAMINC2,WHYTO,WEBUSE,NWALKTRP,WRKCOUNT,HOUSEID,WRKTRANS
Urban,Skip,-1,NHB,0,1,1,10,77,10K-15K,Yes,BuyGoods,-1,Family,VeryLow,AttorneyAccountant,OnceMonth,3,0,10004007,Skip
Urban,Skip,-1,NHB,0,1,1,10,77,10K-15K,Yes,AttorneyAccountant,-1,Shopping,VeryLow,BuyGoods,OnceMonth,3,0,10004007,Skip
Urban,Skip,-1,NHB,0,1,1,10,77,10K-15K,Yes,BuyGoods,-1,Shopping,VeryLow,BuyGoods,OnceMonth,3,0,10004007,Skip
Urban,Skip,-1,NHB,0,1,1,10,77,10K-15K,Yes,BuyGoods,-1,Shopping,VeryLow,BuyGoods,OnceMonth,3,0,10004007,Skip
Urban,Skip,-1,NHB,0,1,1,10,77,10K-15K,Yes,BuyGoods,-1,EatMeal,VeryLow,GetMeal,OnceMonth,3,0,10004007,Skip
Urban,Skip,-1,NHB,0,1,1,10,77,10K-15K,Yes,GetMeal,-1,ServePassenger,VeryLow,DropSomeoneOff,OnceMonth,3,0,10004007,Skip
Urban,Skip,-1,HBO,0,1,1,10,77,10K-15K,Yes,DropSomeoneOff,-1,ReturnHome,VeryLow,Home,OnceMonth,3,0,10004007,Skip
Urban,Skip,-1,HBO,0,1,1,10,77,10K-15K,Yes,Home,-1,Other,VeryLow,Other,OnceMonth,3,0,10004007,Skip
Urban,Skip,-1,HBO,0,1,1,10,77,10K-15K,Yes,Other,-1,ReturnHome,VeryLow,Home,OnceMonth,3,0,10004007,Skip
Urban,OnceMonthMore,1,HBSHOP,0,1,3,7,56,75K-80K,Yes,Home,3,Shopping,High,BuyGas,SeveralWeek,2,2,10007334,Other
Urban,OnceMonthMore,1,NHB,0,1,3,7,56,75K-80K,Yes,BuyGas,3,WorkRelated,High,OtherWorkRelated,SeveralWeek,2,2,10007334,Other
Urban,OnceMonthMore,1,NHB,0,1,3,7,56,75K-80K,Yes,OtherWorkRelated,3,ToWork,High,GoToWork,SeveralWeek,2,2,10007334,Other
Urban,OnceMonthMore,1,NHB,0,1,3,7,56,75K-80K,Yes,GoToWork,3,Family,High,BuyService,SeveralWeek,2,2,10007334,Other
Urban,OnceMonthMore,1,NHB,0,1,3,7,56,75K-80K,Yes,BuyService,3,Shopping,High,BuyGoods,SeveralWeek,2,2,10007334,Other
Urban,OnceMonthMore,1,NHB,0,1,3,7,56,75K-80K,Yes,BuyGoods,3,ReturnWork,High,ReturnToWork,SeveralWeek,2,2,10007334,Other
Urban,OnceMonthMore,1,HBW,0,1,3,7,56,75K-80K,Yes,ReturnToWork,3,ReturnHome,High,Home,SeveralWeek,2,2,10007334,Other
Urban,Skip,6,HBO,0,2,3,6,45,75K-80K,Yes,Home,35,Other,High,SchoolOrReligiousActivity,OnceWeek,0,2,10007334,Car
Urban,Skip,6,HBO,0,2,3,6,45,75K-80K,Yes,SchoolOrReligiousActivity,35,ReturnHome,High,Home,OnceWeek,0,2,10007334,Car
Urban,Skip,6,HBW,0,2,3,6,45,75K-80K,Yes,Home,35,ToWork,High,GoToWork,OnceWeek,0,2,10007334,Car
Urban,Skip,6,HBW,0,2,3,6,45,75K-80K,Yes,GoToWork,35,ReturnHome,High,Home,OnceWeek,0,2,10007334,Car
Urban,Skip,6,HBO,0,2,3,6,45,75K-80K,Yes,Home,35,ServePassenger,High,PickUpSomeone,OnceWeek,0,2,10007334,Car
Urban,Skip,6,HBO,0,2,3,6,45,75K-80K,Yes,PickUpSomeone,35,ReturnHome,High,Home,OnceWeek,0,2,10007334,Car
Urban,Skip,-1,HBO,-1,3,3,4,15,75K-80K,No,Home,-1,School,High,GoSchoolAsStudent,Skip,-1,2,10007334,Skip
Urban,Skip,-1,NHB,-1,3,3,4,15,75K-80K,No,GoSchoolAsStudent,-1,School,High,GoSchoolAsStudent,Skip,-1,2,10007334,Skip
Urban,Skip,-1,NHB,-1,3,3,4,15,75K-80K,No,GoSchoolAsStudent,-1,ServePassenger,High,TransportSomeone,Skip,-1,2,10007334,Skip
Urban,Skip,-1,HBO,-1,3,3,4,15,75K-80K,No,TransportSomeone,-1,ReturnHome,High,Home,Skip,-1,2,10007334,Skip
Urban,FewYear,11,HBO,0,1,4,11,47,80K-100K,Yes,Home,30,ServePassenger,High,DropSomeoneOff,AlmostEveryday,5,2,10021406,Car
Urban,FewYear,11,NHB,0,1,4,11,47,80K-100K,Yes,DropSomeoneOff,30,ToWork,High,GoToWork,AlmostEveryday,5,2,10021406,Car
Urban,FewYear,11,NHB,0,1,4,11,47,80K-100K,Yes,GoToWork,30,ServePassenger,High,PickUpSomeone,AlmostEveryday,5,2,10021406,Car
Urban,FewYear,11,HBO,0,1,4,11,47,80K-100K,Yes,PickUpSomeone,30,ReturnHome,High,Home,AlmostEveryday,5,2,10021406,Car
Urban,FewYear,11,HBSHOP,0,1,4,11,47,80K-100K,Yes,Home,30,Family,High,BuyService,AlmostEveryday,5,2,10021406,Car
Urban,FewYear,11,NHB,0,1,4,11,47,80K-100K,Yes,BuyService,30,ServePassenger,High,PickUpSomeone,AlmostEveryday,5,2,10021406,Car
Urban,FewYear,11,HBO,0,1,4,11,47,80K-100K,Yes,PickUpSomeone,30,ReturnHome,High,Home,AlmostEveryday,5,2,10021406,Car
Urban,FewYear,11,HBO,0,1,4,11,47,80K-100K,Yes,Home,30,ServePassenger,High,DropSomeoneOff,AlmostEveryday,5,2,10021406,Car
Urban,FewYear,11,HBO,0,1,4,11,47,80K-100K,Yes,DropSomeoneOff,30,ReturnHome,High,Home,AlmostEveryday,5,2,10021406,Car
Urban,FewYear,11,HBO,0,1,4,11,47,80K-100K,Yes,Home,30,ServePassenger,High,PickUpSomeone,AlmostEveryday,5,2,10021406,Car
Urban,FewYear,11,HBO,0,1,4,11,47,80K-100K,Yes,PickUpSomeone,30,ReturnHome,High,Home,AlmostEveryday,5,2,10021406,Car
Urban,Skip,7,HBO,0,2,4,5,46,80K-100K,Yes,Home,25,ServePassenger,High,DropSomeoneOff,OnceWeek,0,2,10021406,SUV
Urban,Skip,7,NHB,0,2,4,5,46,80K-100K,Yes,DropSomeoneOff,25,ToWork,High,GoToWork,OnceWeek,0,2,10021406,SUV
Urban,Skip,7,NHB,0,2,4,5,46,80K-100K,Yes,GoToWork,25,Shopping,High,BuyGoods,OnceWeek,0,2,10021406,SUV
Urban,Skip,7,NHB,0,2,4,5,46,80K-100K,Yes,BuyGoods,25,ServePassenger,High,PickUpSomeone,OnceWeek,0,2,10021406,SUV
Urban,Skip,7,HBO,0,2,4,5,46,80K-100K,Yes,PickUpSomeone,25,ReturnHome,High,Home,OnceWeek,0,2,10021406,SUV
Urban,Skip,-1,HBO,-1,3,4,5,13,80K-100K,Skip,Home,-1,School,High,GoSchoolAsStudent,Skip,-1,2,10021406,Skip
Urban,Skip,-1,NHB,-1,3,4,5,13,80K-100K,Skip,GoSchoolAsStudent,-1,ServePassenger,High,TakeAndWait,Skip,-1,2,10021406,Skip
Urban,Skip,-1,HBO,-1,3,4,5,13,80K-100K,Skip,TakeAndWait,-1,ReturnHome,High,Home,Skip,-1,2,10021406,Skip
Urban,Skip,-1,HBO,-1,3,4,5,13,80K-100K,Skip,Home,-1,Family,High,PTA,Skip,-1,2,10021406,Skip
Urban,Skip,-1,HBO,-1,3,4,5,13,80K-100K,Skip,PTA,-1,ReturnHome,High,Home,Skip,-1,2,10021406,Skip
Urban,Skip,-1,HBO,-1,4,4,3,8,80K-100K,Skip,Home,-1,School,High,GoSchoolAsStudent,Skip,-1,2,10021406,Skip
Urban,Skip,-1,NHB,-1,4,4,3,8,80K-100K,Skip,GoSchoolAsStudent,-1,SocialRecreation,High,HangOut,Skip,-1,2,10021406,Skip
Urban,Skip,-1,HBSOCREC,-1,4,4,3,8,80K-100K,Skip,HangOut,-1,ReturnHome,High,Home,Skip,-1,2,10021406,Skip
Rural,Skip,25,HBW,0,1,2,2,60,65K-70K,Yes,Home,45,ToWork,High,GoToWork,SeveralWeek,4,1,10022047,Car
Rural,Skip,25,HBW,0,1,2,2,60,65K-70K,Yes,GoToWork,45,ReturnHome,High,Home,SeveralWeek,4,1,10022047,Car
Rural,Skip,-1,HBO,0,2,2,9,63,65K-70K,Yes,Home,-1,ServePassenger,High,DropSomeoneOff,SeveralWeek,0,1,10022047,Skip
Rural,Skip,-1,NHB,0,2,2,9,63,65K-70K,Yes,DropSomeoneOff,-1,Family,High,BuyService,SeveralWeek,0,1,10022047,Skip
Rural,Skip,-1,NHB,0,2,2,9,63,65K-70K,Yes,BuyService,-1,Shopping,High,BuyGoods,SeveralWeek,0,1,10022047,Skip
Rural,Skip,-1,NHB,0,2,2,9,63,65K-70K,Yes,BuyGoods,-1,Shopping,High,BuyGoods,SeveralWeek,0,1,10022047,Skip
Rural,Skip,-1,NHB,0,2,2,9,63,65K-70K,Yes,BuyGoods,-1,Family,High,BuyService,SeveralWeek,0,1,10022047,Skip
Rural,Skip,-1,HBSHOP,0,2,2,9,63,65K-70K,Yes,BuyService,-1,ReturnHome,High,Home,SeveralWeek,0,1,10022047,Skip
Rural,Skip,-1,HBSHOP,0,2,2,9,63,65K-70K,Yes,Home,-1,Shopping,High,BuyGoods,SeveralWeek,0,1,10022047,Skip
Rural,Skip,-1,NHB,0,2,2,9,63,65K-70K,Yes,BuyGoods,-1,ServePassenger,High,PickUpSomeone,SeveralWeek,0,1,10022047,Skip
Rural,Skip,-1,HBO,0,2,2,9,63,65K-70K,Yes,PickUpSomeone,-1,ReturnHome,High,Home,SeveralWeek,0,1,10022047,Skip
Urban,Skip,-1,HBSOCREC,0,1,1,2,56,50K-55K,Yes,Home,-1,SocialRecreation,High,VisitFriends,Skip,1,0,10031197,Skip
Urban,Skip,-1,HBSOCREC,0,1,1,2,56,50K-55K,Yes,VisitFriends,-1,ReturnHome,High,Home,Skip,1,0,10031197,Skip
Urban,Skip,-1,HBSHOP,0,1,2,4,52,80K-100K,Yes,Home,-1,Shopping,High,BuyGoods,AlmostEveryday,5,1,10035289,Skip
Urban,Skip,-1,HBSHOP,0,1,2,4,52,80K-100K,Yes,BuyGoods,-1,ReturnHome,High,Home,AlmostEveryday,5,1,10035289,Skip
Urban,Skip,-1,HBSOCREC,0,1,2,4,52,80K-100K,Yes,Home,-1,SocialRecreation,High,GoToGym,AlmostEveryday,5,1,10035289,Skip
Urban,Skip,-1,HBSOCREC,0,1,2,4,52,80K-100K,Yes,GoToGym,-1,ReturnHome,High,Home,AlmostEveryday,5,1,10035289,Skip
Urban,FewYear,18,HBW,0,2,2,4,54,80K-100K,Yes,Home,50,ToWork,High,GoToWork,AlmostEveryday,0,1,10035289,SUV
Urban,FewYear,18,NHB,0,2,2,4,54,80K-100K,Yes,GoToWork,50,WorkRelated,High,OtherWorkRelated,AlmostEveryday,0,1,10035289,SUV
Urban,FewYear,18,NHB,0,2,2,4,54,80K-100K,Yes,OtherWorkRelated,50,Shopping,High,BuyGoods,AlmostEveryday,0,1,10035289,SUV
Urban,FewYear,18,HBSHOP,0,2,2,4,54,80K-100K,Yes,BuyGoods,50,ReturnHome,High,Home,AlmostEveryday,0,1,10035289,SUV
Urban,Skip,-1,HBO,-9,1,3,8,22,NotAscertained,Yes,Home,-9,ServePassenger,NotAscertained,DropSomeoneOff,NotAscertained,-9,1,10036875,NotAscertained
Urban,Skip,-1,NHB,-9,1,3,8,22,NotAscertained,Yes,DropSomeoneOff,-9,ToWork,NotAscertained,GoToWork,NotAscertained,-9,1,10036875,NotAscertained
Urban,Skip,-1,HBW,-9,1,3,8,22,NotAscertained,Yes,GoToWork,-9,ReturnHome,NotAscertained,Home,NotAscertained,-9,1,10036875,NotAscertained
Urban,Skip,-1,HBSOCREC,-9,1,3,8,22,NotAscertained,Yes,Home,-9,SocialRecreation,NotAscertained,VisitFriends,NotAscertained,-9,1,10036875,NotAscertained
Urban,Skip,-1,NHB,-9,1,3,8,22,NotAscertained,Yes,VisitFriends,-9,Shopping,NotAscertained,BuyGas,NotAscertained,-9,1,10036875,NotAscertained
Urban,Skip,-1,NHB,-9,1,3,8,22,NotAscertained,Yes,BuyGas,-9,SocialRecreation,NotAscertained,VisitFriends,NotAscertained,-9,1,10036875,NotAscertained
Urban,Skip,-1,NHB,-9,1,3,8,22,NotAscertained,Yes,VisitFriends,-9,ServePassenger,NotAscertained,PickUpSomeone,NotAscertained,-9,1,10036875,NotAscertained
Urban,Skip,-1,HBO,-9,1,3,8,22,NotAscertained,Yes,PickUpSomeone,-9,ReturnHome,NotAscertained,Home,NotAscertained,-9,1,10036875,NotAscertained
Urban,Skip,-1,HBO,-1,2,3,2,3,NotAscertained,Skip,Home,-1,School,NotAscertained,GoSchoolAsStudent,Skip,-1,1,10036875,Skip
Urban,Skip,-1,HBO,-1,2,3,2,3,NotAscertained,Skip,GoSchoolAsStudent,-1,ReturnHome,NotAscertained,Home,Skip,-1,1,10036875,Skip
Urban,Skip,-1,HBO,-1,3,3,9,-8,NotAscertained,Yes,Home,-1,ServePassenger,NotAscertained,DropSomeoneOff,Skip,-1,1,10036875,Skip
Urban,Skip,-1,HBO,-1,3,3,9,-8,NotAscertained,Yes,DropSomeoneOff,-1,ReturnHome,NotAscertained,Home,Skip,-1,1,10036875,Skip
Urban,Skip,-1,HBW,-1,3,3,9,-8,NotAscertained,Yes,Home,-1,ToWork,NotAscertained,GoToWork,Skip,-1,1,10036875,Skip
Urban,Skip,-1,HBW,-1,3,3,9,-8,NotAscertained,Yes,GoToWork,-1,ReturnHome,NotAscertained,Home,Skip,-1,1,10036875,Skip
Urban,Skip,-1,HBSOCREC,-1,3,3,9,-8,NotAscertained,Yes,Home,-1,SocialRecreation,NotAscertained,VisitFriends,Skip,-1,1,10036875,Skip
Urban,Skip,-1,NHB,-1,3,3,9,-8,NotAscertained,Yes,VisitFriends,-1,Shopping,NotAscertained,BuyGas,Skip,-1,1,10036875,Skip
Urban,Skip,-1,NHB,-1,3,3,9,-8,NotAscertained,Yes,BuyGas,-1,SocialRecreation,NotAscertained,VisitFriends,Skip,-1,1,10036875,Skip
Urban,Skip,-1,NHB,-1,3,3,9,-8,NotAscertained,Yes,VisitFriends,-1,ServePassenger,NotAscertained,PickUpSomeone,Skip,-1,1,10036875,Skip
Urban,Skip,-1,HBO,-1,3,3,9,-8,NotAscertained,Yes,PickUpSomeone,-1,ReturnHome,NotAscertained,Home,Skip,-1,1,10036875,Skip
Urban,Skip,5,HBW,0,1,3,4,31,50K-55K,Yes,Home,5,ToWork,High,GoToWork,SeveralWeek,2,2,10040322,Car
Urban,Skip,5,HBW,0,1,3,4,31,50K-55K,Yes,GoToWork,5,ReturnHome,High,Home,SeveralWeek,2,2,10040322,Car
Urban,Skip,5,HBW,0,1,3,4,31,50K-55K,Yes,Home,5,ReturnWork,High,ReturnToWork,SeveralWeek,2,2,10040322,Car
Urban,Skip,5,HBW,0,1,3,4,31,50K-55K,Yes,ReturnToWork,5,ReturnHome,High,Home,SeveralWeek,2,2,10040322,Car
Urban,Skip,2,HBSOCREC,0,2,3,2,31,50K-55K,Yes,Home,15,SocialRecreation,High,VisitFriends,AlmostEveryday,3,2,10040322,Car
Urban,Skip,2,HBSOCREC,0,2,3,2,31,50K-55K,Yes,VisitFriends,15,ReturnHome,High,Home,AlmostEveryday,3,2,10040322,Car
Urban,Skip,-1,HBSOCREC,-1,3,3,2,-8,50K-55K,No,Home,-1,SocialRecreation,High,VisitFriends,Skip,-1,2,10040322,Skip
Urban,Skip,-1,HBSOCREC,-1,3,3,2,-8,50K-55K,No,VisitFriends,-1,ReturnHome,High,Home,Skip,-1,2,10040322,Skip
Urban,Skip,-1,HBO,0,1,2,2,46,20K-25K,Yes,Home,-1,ServePassenger,Low,PickUpSomeone,Skip,1,2,10045224,Skip
Urban,Skip,-1,HBO,0,1,2,2,46,20K-25K,Yes,PickUpSomeone,-1,ReturnHome,Low,Home,Skip,1,2,10045224,Skip
Urban,Skip,5,HBW,0,2,2,4,50,20K-25K,Yes,Home,20,ToWork,Low,GoToWork,Skip,5,2,10045224,Car
Urban,Skip,5,HBW,0,2,2,4,50,20K-25K,Yes,GoToWork,20,ReturnHome,Low,Home,Skip,5,2,10045224,Car
Urban,Skip,5,HBSOCREC,0,2,2,4,50,20K-25K,Yes,Home,20,SocialRecreation,Low,VisitFriends,Skip,5,2,10045224,Car
Urban,Skip,5,HBSOCREC,0,2,2,4,50,20K-25K,Yes,VisitFriends,20,ReturnHome,Low,Home,Skip,5,2,10045224,Car
Urban,Skip,7,HBW,0,1,2,2,53,5K-10K,No,Home,8,ToWork,ExtremelyLow,GoToWork,Skip,4,1,10048672,Walk
Urban,Skip,7,HBW,0,1,2,2,53,5K-10K,No,GoToWork,8,ReturnHome,ExtremelyLow,Home,Skip,4,1,10048672,Walk
Urban,Skip,8,HBW,0,1,1,3,43,45K-50K,Yes,Home,20,ToWork,High,GoToWork,SeveralWeek,2,1,10050648,Car
Urban,Skip,8,NHB,0,1,1,3,43,45K-50K,Yes,GoToWork,20,WorkRelated,High,OtherWorkRelated,SeveralWeek,2,1,10050648,Car
Urban,Skip,8,NHB,0,1,1,3,43,45K-50K,Yes,OtherWorkRelated,20,WorkRelated,High,OtherWorkRelated,SeveralWeek,2,1,10050648,Car
Urban,Skip,0,HBW,0,1,1,6,50,25K-30K,Yes,Home,-1,ToWork,Low,GoToWork,AlmostEveryday,3,1,10052660,Skip
Urban,Skip,0,NHB,0,1,1,6,50,25K-30K,Yes,GoToWork,-1,WorkRelated,Low,OtherWorkRelated,AlmostEveryday,3,1,10052660,Skip
Urban,Skip,0,NHB,0,1,1,6,50,25K-30K,Yes,OtherWorkRelated,-1,EatMeal,Low,GetMeal,AlmostEveryday,3,1,10052660,Skip
Urban,Skip,0,NHB,0,1,1,6,50,25K-30K,Yes,GetMeal,-1,ReturnWork,Low,ReturnToWork,AlmostEveryday,3,1,10052660,Skip
Urban,Skip,0,NHB,0,1,1,6,50,25K-30K,Yes,ReturnToWork,-1,Family,Low,PTA,AlmostEveryday,3,1,10052660,Skip
Urban,Skip,0,HBO,0,1,1,6,50,25K-30K,Yes,PTA,-1,ReturnHome,Low,Home,AlmostEveryday,3,1,10052660,Skip
Urban,Skip,-1,HBO,0,2,2,5,71,20K-25K,Yes,Home,-1,Family,Low,GroomingHaircutNails,Skip,-8,0,10060197,Skip
Urban,Skip,-1,NHB,0,2,2,5,71,20K-25K,Yes,GroomingHaircutNails,-1,Shopping,Low,BuyGoods,Skip,-8,0,10060197,Skip
Urban,Skip,-1,NHB,0,2,2,5,71,20K-25K,Yes,BuyGoods,-1,Family,Low,BuyService,Skip,-8,0,10060197,Skip
Urban,Skip,-1,NHB,0,2,2,5,71,20K-25K,Yes,BuyService,-1,SocialRecreation,Low,VisitFriends,Skip,-8,0,10060197,Skip
Urban,Skip,-1,HBSOCREC,0,2,2,5,71,20K-25K,Yes,VisitFriends,-1,ReturnHome,Low,Home,Skip,-8,0,10060197,Skip
Urban,Skip,-1,HBSHOP,0,1,4,3,40,morethan100K,Yes,Home,-1,Family,High,BuyService,AlmostEveryday,3,0,10061523,Skip
Urban,Skip,-1,NHB,0,1,4,3,40,morethan100K,Yes,BuyService,-1,Shopping,High,BuyGoods,AlmostEveryday,3,0,10061523,Skip
Urban,Skip,-1,HBSHOP,0,1,4,3,40,morethan100K,Yes,BuyGoods,-1,ReturnHome,High,Home,AlmostEveryday,3,0,10061523,Skip
Urban,Skip,-1,HBO,0,2,4,9,40,morethan100K,Yes,Home,-1,ServePassenger,High,DropSomeoneOff,AlmostEveryday,5,0,10061523,Skip
Urban,Skip,-1,NHB,0,2,4,9,40,morethan100K,Yes,DropSomeoneOff,-1,SocialRecreation,High,GoToGym,AlmostEveryday,5,0,10061523,Skip
Urban,Skip,-1,HBSOCREC,0,2,4,9,40,morethan100K,Yes,GoToGym,-1,ReturnHome,High,Home,AlmostEveryday,5,0,10061523,Skip
Urban,Skip,-1,HBSHOP,0,2,4,9,40,morethan100K,Yes,Home,-1,Shopping,High,BuyGoods,AlmostEveryday,5,0,10061523,Skip
Urban,Skip,-1,HBSHOP,0,2,4,9,40,morethan100K,Yes,BuyGoods,-1,ReturnHome,High,Home,AlmostEveryday,5,0,10061523,Skip
