TIMETOWK,GCDWORK,TRIPPURP,WHYTO,WKFMHMXX,DRIVER,WRKTRANS,NWALKTRP,HHSIZE,WHYTRP1S,WHYFROM,NBIKETRP,R_AGE,CNTTDTR,WRKCOUNT,URBRUR,HHFAMINC,WEBUSE,WEBUSE.1,HOUSEID,PERSONID,HHFAMINC2
-1,-9.0,1,0,0,0,0,6,1,0,4,0,70,9,0,0,4,1,0,30008132,1,0
-1,-9.0,1,5,0,0,0,6,1,1,1,0,70,9,0,0,4,1,0,30008132,1,0
-1,-9.0,1,10,0,0,0,6,1,6,5,0,70,9,0,0,4,1,0,30008132,1,0
-1,-9.0,1,0,0,0,0,6,1,0,10,0,70,9,0,0,4,1,0,30008132,1,0
-1,-9.0,1,11,0,0,0,6,1,7,1,0,70,9,0,0,4,1,0,30008132,1,0
-1,-9.0,1,2,0,0,0,6,1,1,11,0,70,9,0,0,4,1,0,30008132,1,0
-1,-9.0,1,2,0,0,0,6,1,1,3,0,70,9,0,0,4,1,0,30008132,1,0
-1,-9.0,2,3,0,0,0,6,1,2,3,0,70,9,0,0,4,1,0,30008132,1,0
-1,-9.0,2,2,0,0,0,0,2,1,0,0,65,8,0,1,3,1,0,30008783,1,2
-1,-9.0,1,10,0,0,0,0,2,6,3,0,65,8,0,1,3,1,0,30008783,1,2
-1,-9.0,1,9,0,0,0,0,2,5,10,0,65,8,0,1,3,1,0,30008783,1,2
-1,-9.0,1,2,0,0,0,0,2,1,9,0,65,8,0,1,3,1,0,30008783,1,2
-1,-9.0,1,2,0,0,0,0,2,1,3,0,65,8,0,1,3,1,0,30008783,1,2
-1,-9.0,1,2,0,0,0,0,2,1,3,0,65,8,0,1,3,1,0,30008783,1,2
-1,-9.0,1,7,0,0,0,0,2,3,3,0,65,8,0,1,3,1,0,30008783,1,2
-1,-9.0,2,3,0,0,0,0,2,2,7,0,65,8,0,1,3,1,0,30008783,1,2
-1,-9.0,3,9,0,0,0,0,2,5,0,0,64,5,0,1,3,1,0,30008783,2,2
-1,-9.0,1,2,0,0,0,0,2,1,9,0,64,5,0,1,3,1,0,30008783,2,2
-1,-9.0,2,3,0,0,0,0,2,2,3,0,64,5,0,1,3,1,0,30008783,2,2
-1,-9.0,3,11,0,0,0,0,2,7,0,0,64,5,0,1,3,1,0,30008783,2,2
-1,-9.0,3,3,0,0,0,0,2,2,11,0,64,5,0,1,3,1,0,30008783,2,2
17,2596.27,4,12,1,0,1,4,1,8,0,0,23,3,1,0,0,1,0,30009843,1,0
17,2596.27,1,2,1,0,1,4,1,1,12,0,23,3,1,0,0,1,0,30009843,1,0
17,2596.27,2,3,1,0,1,4,1,2,3,0,23,3,1,0,0,1,0,30009843,1,0
-1,-9.0,2,5,0,2,0,0,1,1,0,0,65,2,0,0,4,5,1,30010005,1,0
-1,-9.0,2,3,0,2,0,0,1,2,5,0,65,2,0,0,4,5,1,30010005,1,0
-1,-9.0,2,7,0,0,0,0,2,3,0,0,71,4,0,0,0,1,0,30011070,1,0
-1,-9.0,1,5,0,0,0,0,2,1,7,0,71,4,0,0,0,1,0,30011070,1,0
