TIMETOWK,GCDWORK,TRIPPURP,WHYTO,WKFMHMXX,DRIVER,WRKTRANS,NWALKTRP,HHSIZE,WHYTRP1S,WHYFROM,NBIKETRP,R_AGE,CNTTDTR,WRKCOUNT,URBRUR,HHFAMINC,WEBUSE,HOUSEID,PERSONID,HHFAMINC2
30,11,1,10,2,0,0,5,4,4,3,0,47,11,2,0,4,1,10021406,1,2
30,11,2,3,2,0,0,5,4,3,10,0,47,11,2,0,4,1,10021406,1,2
30,11,0,1,2,0,0,5,4,1,0,0,47,11,2,0,4,1,10021406,1,2
30,11,1,10,2,0,0,5,4,4,2,0,47,11,2,0,4,1,10021406,1,2
30,11,2,3,2,0,0,5,4,3,10,0,47,11,2,0,4,1,10021406,1,2
30,11,2,12,2,0,0,5,4,4,0,0,47,11,2,0,4,1,10021406,1,2
30,11,2,3,2,0,0,5,4,3,12,0,47,11,2,0,4,1,10021406,1,2
30,11,2,10,2,0,0,5,4,4,0,0,47,11,2,0,4,1,10021406,1,2
30,11,2,3,2,0,0,5,4,3,10,0,47,11,2,0,4,1,10021406,1,2
25,7,2,12,0,0,3,0,4,4,0,0,46,5,2,0,4,4,10021406,2,2
25,7,1,2,0,0,3,0,4,2,12,0,46,5,2,0,4,4,10021406,2,2
25,7,1,6,0,0,3,0,4,5,3,0,46,5,2,0,4,4,10021406,2,2
25,7,1,10,0,0,3,0,4,4,6,0,46,5,2,0,4,4,10021406,2,2
25,7,2,3,0,0,3,0,4,3,10,0,46,5,2,0,4,4,10021406,2,2
-1,-1,2,13,0,1,1,-1,4,8,0,-1,13,5,2,0,4,0,10021406,3,2
-1,-1,1,19,0,1,1,-1,4,4,13,-1,13,5,2,0,4,0,10021406,3,2
-1,-1,2,3,0,1,1,-1,4,3,19,-1,13,5,2,0,4,0,10021406,3,2
-1,-1,2,20,0,1,1,-1,4,1,0,-1,13,5,2,0,4,0,10021406,3,2
-1,-1,2,3,0,1,1,-1,4,3,20,-1,13,5,2,0,4,0,10021406,3,2
-1,-1,2,13,0,1,1,-1,4,8,0,-1,8,3,2,0,4,0,10021406,4,2
-1,-1,1,7,0,1,1,-1,4,6,13,-1,8,3,2,0,4,0,10021406,4,2
-1,-1,3,3,0,1,1,-1,4,3,7,-1,8,3,2,0,4,0,10021406,4,2
45,25,4,2,0,0,0,4,2,2,0,0,60,2,1,1,5,3,10022047,1,2
45,25,4,3,0,0,0,4,2,3,3,0,60,2,1,1,5,3,10022047,1,2
-1,-1,2,12,0,0,1,0,2,4,0,0,63,9,1,1,5,3,10022047,2,2
-1,-1,1,1,0,0,1,0,2,1,12,0,63,9,1,1,5,3,10022047,2,2
-1,-1,1,6,0,0,1,0,2,5,2,0,63,9,1,1,5,3,10022047,2,2
-1,-1,1,6,0,0,1,0,2,5,6,0,63,9,1,1,5,3,10022047,2,2
-1,-1,1,1,0,0,1,0,2,1,6,0,63,9,1,1,5,3,10022047,2,2
-1,-1,0,3,0,0,1,0,2,3,2,0,63,9,1,1,5,3,10022047,2,2
-1,-1,0,6,0,0,1,0,2,5,0,0,63,9,1,1,5,3,10022047,2,2
-1,-1,1,10,0,0,1,0,2,4,6,0,63,9,1,1,5,3,10022047,2,2
-1,-1,2,3,0,0,1,0,2,3,10,0,63,9,1,1,5,3,10022047,2,2
-1,-1,3,21,0,0,1,1,1,6,0,0,56,2,0,0,6,0,10031197,1,2
-1,-1,3,3,0,0,1,1,1,3,21,0,56,2,0,0,6,0,10031197,1,2
-1,-1,0,6,0,0,1,5,2,5,0,0,52,4,1,0,4,1,10035289,1,2
-1,-1,0,3,0,0,1,5,2,3,6,0,52,4,1,0,4,1,10035289,1,2
-1,-1,3,22,0,0,1,5,2,6,0,0,52,4,1,0,4,1,10035289,1,2
-1,-1,3,3,0,0,1,5,2,3,22,0,52,4,1,0,4,1,10035289,1,2
50,18,4,2,2,0,3,0,2,2,0,0,54,4,1,0,4,1,10035289,2,2
50,18,1,16,2,0,3,0,2,10,3,0,54,4,1,0,4,1,10035289,2,2
50,18,1,6,2,0,3,0,2,5,16,0,54,4,1,0,4,1,10035289,2,2
50,18,0,3,2,0,3,0,2,3,6,0,54,4,1,0,4,1,10035289,2,2
5,5,4,2,0,0,0,2,3,2,0,0,31,4,2,0,6,3,10040322,1,2
5,5,4,3,0,0,0,2,3,3,3,0,31,4,2,0,6,3,10040322,1,2
5,5,4,17,0,0,0,2,3,11,0,0,31,4,2,0,6,3,10040322,1,2
5,5,4,3,0,0,0,2,3,3,17,0,31,4,2,0,6,3,10040322,1,2
15,2,3,21,0,0,0,3,3,6,0,0,31,2,2,0,6,1,10040322,2,2
15,2,3,3,0,0,0,3,3,3,21,0,31,2,2,0,6,1,10040322,2,2
-1,-1,3,21,0,2,1,-1,3,6,0,-1,-8,2,2,0,6,0,10040322,3,2
-1,-1,3,3,0,2,1,-1,3,3,21,-1,-8,2,2,0,6,0,10040322,3,2
-1,-1,2,10,0,0,1,1,2,4,0,0,46,2,2,0,7,0,10045224,1,0
-1,-1,2,3,0,0,1,1,2,3,10,0,46,2,2,0,7,0,10045224,1,0
20,5,4,2,0,0,0,5,2,2,0,0,50,4,2,0,7,0,10045224,2,0
20,5,4,3,0,0,0,5,2,3,3,0,50,4,2,0,7,0,10045224,2,0
20,5,3,21,0,0,0,5,2,6,0,0,50,4,2,0,7,0,10045224,2,0
20,5,3,3,0,0,0,5,2,3,21,0,50,4,2,0,7,0,10045224,2,0
8,7,4,2,0,2,4,4,2,2,0,0,53,2,1,0,8,0,10048672,1,0
8,7,4,3,0,2,4,4,2,3,3,0,53,2,1,0,8,0,10048672,1,0
20,8,4,2,0,0,0,2,1,2,0,0,43,3,1,0,9,3,10050648,1,2
20,8,1,16,0,0,0,2,1,10,3,0,43,3,1,0,9,3,10050648,1,2
20,8,1,16,0,0,0,2,1,10,16,0,43,3,1,0,9,3,10050648,1,2
-1,0,4,2,0,0,1,3,1,2,0,0,50,6,1,0,10,1,10052660,1,0
-1,0,1,16,0,0,1,3,1,10,3,0,50,6,1,0,10,1,10052660,1,0
-1,0,1,0,0,0,1,3,1,0,16,0,50,6,1,0,10,1,10052660,1,0
-1,0,1,17,0,0,1,3,1,11,1,0,50,6,1,0,10,1,10052660,1,0
-1,0,1,20,0,0,1,3,1,1,17,0,50,6,1,0,10,1,10052660,1,0
-1,0,2,3,0,0,1,3,1,3,20,0,50,6,1,0,10,1,10052660,1,0
-1,-1,2,23,0,0,1,-8,2,1,0,0,71,5,0,0,7,0,10060197,2,0
-1,-1,1,6,0,0,1,-8,2,5,23,0,71,5,0,0,7,0,10060197,2,0
-1,-1,1,1,0,0,1,-8,2,1,6,0,71,5,0,0,7,0,10060197,2,0
-1,-1,1,21,0,0,1,-8,2,6,2,0,71,5,0,0,7,0,10060197,2,0
-1,-1,3,3,0,0,1,-8,2,3,21,0,71,5,0,0,7,0,10060197,2,0
-1,-1,0,1,0,0,1,3,4,1,0,0,40,3,0,0,11,1,10061523,1,2
-1,-1,1,6,0,0,1,3,4,5,2,0,40,3,0,0,11,1,10061523,1,2
-1,-1,0,3,0,0,1,3,4,3,6,0,40,3,0,0,11,1,10061523,1,2
-1,-1,2,12,0,0,1,5,4,4,0,0,40,9,0,0,11,1,10061523,2,2
-1,-1,1,22,0,0,1,5,4,6,12,0,40,9,0,0,11,1,10061523,2,2
-1,-1,3,3,0,0,1,5,4,3,22,0,40,9,0,0,11,1,10061523,2,2
-1,-1,0,6,0,0,1,5,4,5,0,0,40,9,0,0,11,1,10061523,2,2
-1,-1,0,3,0,0,1,5,4,3,6,0,40,9,0,0,11,1,10061523,2,2
-1,-1,2,10,0,0,1,5,4,4,0,0,40,9,0,0,11,1,10061523,2,2
-1,-1,2,3,0,0,1,5,4,3,10,0,40,9,0,0,11,1,10061523,2,2
-1,-1,0,6,0,0,1,5,4,5,0,0,40,9,0,0,11,1,10061523,2,2
-1,-1,0,3,0,0,1,5,4,3,6,0,40,9,0,0,11,1,10061523,2,2
-1,-1,2,13,0,1,1,-1,4,8,0,-1,9,4,0,0,11,0,10061523,3,2
-1,-1,2,3,0,1,1,-1,4,3,13,-1,9,4,0,0,11,0,10061523,3,2
-1,-1,2,24,0,1,1,-1,4,8,0,-1,9,4,0,0,11,0,10061523,3,2
-1,-1,2,3,0,1,1,-1,4,3,24,-1,9,4,0,0,11,0,10061523,3,2
-1,-1,2,13,0,1,1,-1,4,8,0,-1,6,4,0,0,11,0,10061523,4,2
-1,-1,2,3,0,1,1,-1,4,3,13,-1,6,4,0,0,11,0,10061523,4,2
-1,-1,2,24,0,1,1,-1,4,8,0,-1,6,4,0,0,11,0,10061523,4,2
-1,-1,2,3,0,1,1,-1,4,3,24,-1,6,4,0,0,11,0,10061523,4,2
30,19,2,25,0,0,5,5,3,12,0,0,37,4,1,0,12,4,10061895,1,1
30,19,2,3,0,0,5,5,3,3,25,0,37,4,1,0,12,4,10061895,1,1
30,19,0,6,0,0,5,5,3,5,0,0,37,4,1,0,12,4,10061895,1,1
30,19,0,3,0,0,5,5,3,3,6,0,37,4,1,0,12,4,10061895,1,1
-1,-1,1,4,0,1,1,-1,3,1,4,-1,11,3,1,0,12,0,10061895,2,1
-1,-1,1,6,0,1,1,-1,3,5,4,-1,11,3,1,0,12,0,10061895,2,1
-1,-1,0,3,0,1,1,-1,3,3,6,-1,11,3,1,0,12,0,10061895,2,1
-1,-1,2,3,0,1,1,-1,3,3,26,-1,7,3,1,0,12,0,10061895,3,1
-1,-1,0,6,0,1,1,-1,3,5,0,-1,7,3,1,0,12,0,10061895,3,1
-1,-1,0,3,0,1,1,-1,3,3,6,-1,7,3,1,0,12,0,10061895,3,1
15,3,2,13,3,0,0,21,3,8,0,0,24,2,2,0,0,1,10062016,1,0
15,3,2,3,3,0,0,21,3,3,13,0,24,2,2,0,0,1,10062016,1,0
-1,-1,2,13,0,0,1,0,3,8,0,0,25,5,2,0,0,1,10062016,2,0
-1,-1,2,3,0,0,1,0,3,3,13,0,25,5,2,0,0,1,10062016,2,0
-1,-1,3,21,0,0,1,0,3,6,0,0,25,5,2,0,0,1,10062016,2,0
-1,-1,1,7,0,0,1,0,3,6,21,0,25,5,2,0,0,1,10062016,2,0
-1,-1,3,3,0,0,1,0,3,3,7,0,25,5,2,0,0,1,10062016,2,0
10,3,2,10,3,0,0,1,3,4,0,1,23,7,2,0,0,1,10062016,3,0
10,3,1,12,3,0,0,1,3,4,10,1,23,7,2,0,0,1,10062016,3,0
10,3,2,3,3,0,0,1,3,3,12,1,23,7,2,0,0,1,10062016,3,0
10,3,2,24,3,0,0,1,3,8,0,1,23,7,2,0,0,1,10062016,3,0
10,3,2,3,3,0,0,1,3,3,24,1,23,7,2,0,0,1,10062016,3,0
10,3,2,24,3,0,0,1,3,8,0,1,23,7,2,0,0,1,10062016,3,0
10,3,1,21,3,0,0,1,3,6,24,1,23,7,2,0,0,1,10062016,3,0
60,21,2,12,0,0,3,0,4,4,0,0,47,3,3,0,4,1,10068652,1,2
60,21,1,2,0,0,3,0,4,2,12,0,47,3,3,0,4,1,10068652,1,2
60,21,4,3,0,0,3,0,4,3,3,0,47,3,3,0,4,1,10068652,1,2
45,11,4,2,0,0,0,0,4,2,0,0,40,2,3,0,4,0,10068652,2,2
45,11,4,3,0,0,0,0,4,3,3,0,40,2,3,0,4,0,10068652,2,2
15,6,2,16,0,0,0,5,4,10,0,0,25,4,3,0,4,3,10068652,3,2
15,6,1,16,0,0,0,5,4,10,16,0,25,4,3,0,4,3,10068652,3,2
15,6,1,16,0,0,0,5,4,10,16,0,25,4,3,0,4,3,10068652,3,2
15,6,2,3,0,0,0,5,4,3,16,0,25,4,3,0,4,3,10068652,3,2
-1,-1,2,13,0,2,1,-1,4,8,0,-1,15,2,3,0,4,0,10068652,4,2
-1,-1,2,3,0,2,1,-1,4,3,13,-1,15,2,3,0,4,0,10068652,4,2
10,1,4,2,0,0,0,2,2,2,0,0,62,4,1,1,13,0,10076143,1,1
10,1,1,26,0,0,0,2,2,10,3,0,62,4,1,1,13,0,10076143,1,1
10,1,1,17,0,0,0,2,2,11,27,0,62,4,1,1,13,0,10076143,1,1
10,1,4,3,0,0,0,2,2,3,17,0,62,4,1,1,13,0,10076143,1,1
-1,-1,0,6,0,0,1,0,2,5,0,0,67,2,1,1,13,0,10076143,2,1
-1,-1,0,3,0,0,1,0,2,3,6,0,67,2,1,1,13,0,10076143,2,1
-1,-1,0,15,0,0,1,0,1,5,0,1,58,2,0,0,0,0,10077542,1,0
-1,-1,0,3,0,0,1,0,1,3,15,1,58,2,0,0,0,0,10077542,1,0
15,14,2,25,0,0,0,7,3,12,0,0,50,5,3,1,11,1,10081521,1,2
15,14,2,3,0,0,0,7,3,3,25,0,50,5,3,1,11,1,10081521,1,2
15,14,3,22,0,0,0,7,3,6,0,0,50,5,3,1,11,1,10081521,1,2
15,14,1,21,0,0,0,7,3,6,22,0,50,5,3,1,11,1,10081521,1,2
15,14,3,3,0,0,0,7,3,3,21,0,50,5,3,1,11,1,10081521,1,2
5,3,2,25,0,0,6,7,3,12,0,7,23,7,3,1,11,1,10081521,3,2
5,3,2,3,0,0,6,7,3,3,25,7,23,7,3,1,11,1,10081521,3,2
5,3,3,27,0,0,6,7,3,6,0,7,23,7,3,1,11,1,10081521,3,2
5,3,1,27,0,0,6,7,3,6,28,7,23,7,3,1,11,1,10081521,3,2
5,3,1,27,0,0,6,7,3,6,28,7,23,7,3,1,11,1,10081521,3,2
5,3,1,27,0,0,6,7,3,6,28,7,23,7,3,1,11,1,10081521,3,2
5,3,3,3,0,0,6,7,3,3,28,7,23,7,3,1,11,1,10081521,3,2
3,0,2,9,0,0,0,20,2,1,0,0,31,4,2,0,9,1,10084755,1,2
3,0,2,3,0,0,0,20,2,3,9,0,31,4,2,0,9,1,10084755,1,2
3,0,2,28,0,0,0,20,2,1,0,0,31,4,2,0,9,1,10084755,1,2
3,0,2,3,0,0,0,20,2,3,29,0,31,4,2,0,9,1,10084755,1,2
15,5,4,2,0,0,6,0,2,2,0,0,30,5,2,0,9,2,10084755,2,2
15,5,1,9,0,0,6,0,2,1,3,0,30,5,2,0,9,2,10084755,2,2
15,5,2,3,0,0,6,0,2,3,9,0,30,5,2,0,9,2,10084755,2,2
15,5,4,17,0,0,6,0,2,11,0,0,30,5,2,0,9,2,10084755,2,2
15,5,4,3,0,0,6,0,2,3,17,0,30,5,2,0,9,2,10084755,2,2
-5,4,4,2,4,0,1,0,1,2,0,0,47,3,1,0,0,1,10087756,1,0
-5,4,1,16,4,0,1,0,1,10,3,0,47,3,1,0,0,1,10087756,1,0
-5,4,2,3,4,0,1,0,1,3,16,0,47,3,1,0,0,1,10087756,1,0
-1,-1,3,22,0,0,1,7,2,6,0,0,63,8,0,0,14,1,10094745,1,1
-1,-1,1,21,0,0,1,7,2,6,22,0,63,8,0,0,14,1,10094745,1,1
-1,-1,1,0,0,0,1,7,2,0,21,0,63,8,0,0,14,1,10094745,1,1
-1,-1,1,12,0,0,1,7,2,4,1,0,63,8,0,0,14,1,10094745,1,1
-1,-1,1,6,0,0,1,7,2,5,12,0,63,8,0,0,14,1,10094745,1,1
-1,-1,0,3,0,0,1,7,2,3,6,0,63,8,0,0,14,1,10094745,1,1
-1,-1,3,21,0,0,1,7,2,6,0,0,63,8,0,0,14,1,10094745,1,1
-1,-1,3,3,0,0,1,7,2,3,21,0,63,8,0,0,14,1,10094745,1,1
-1,-1,0,6,0,0,1,4,2,5,0,0,58,9,0,0,14,4,10094745,2,1
-1,-1,0,3,0,0,1,4,2,3,6,0,58,9,0,0,14,4,10094745,2,1
-1,-1,3,21,0,0,1,4,2,6,0,0,58,9,0,0,14,4,10094745,2,1
-1,-1,1,0,0,0,1,4,2,0,21,0,58,9,0,0,14,4,10094745,2,1
-1,-1,1,12,0,0,1,4,2,4,1,0,58,9,0,0,14,4,10094745,2,1
-1,-1,1,6,0,0,1,4,2,5,12,0,58,9,0,0,14,4,10094745,2,1
-1,-1,0,3,0,0,1,4,2,3,6,0,58,9,0,0,14,4,10094745,2,1
-1,-1,3,21,0,0,1,4,2,6,0,0,58,9,0,0,14,4,10094745,2,1
-1,-1,3,3,0,0,1,4,2,3,21,0,58,9,0,0,14,4,10094745,2,1
-1,-1,2,25,0,0,1,0,3,12,0,0,76,2,1,0,9,0,10094802,1,2
-1,-1,2,3,0,0,1,0,3,3,25,0,76,2,1,0,9,0,10094802,1,2
10,2,2,25,0,2,0,2,3,12,0,0,35,2,1,0,9,0,10094802,3,2
10,2,2,3,0,2,0,2,3,3,25,0,35,2,1,0,9,0,10094802,3,2
-1,-1,0,0,0,0,1,3,3,0,0,0,55,2,2,0,10,3,10095041,1,0
-1,-1,0,3,0,0,1,3,3,3,1,0,55,2,2,0,10,3,10095041,1,0
20,7,0,1,0,0,0,3,3,1,0,5,49,7,2,0,10,1,10095041,2,0
20,7,0,3,0,0,0,3,3,3,2,5,49,7,2,0,10,1,10095041,2,0
20,7,4,2,0,0,0,3,3,2,0,5,49,7,2,0,10,1,10095041,2,0
20,7,4,3,0,0,0,3,3,3,3,5,49,7,2,0,10,1,10095041,2,0
20,7,0,0,0,0,0,3,3,0,0,5,49,7,2,0,10,1,10095041,2,0
20,7,0,3,0,0,0,3,3,3,1,5,49,7,2,0,10,1,10095041,2,0
20,7,3,29,0,0,0,3,3,6,0,5,49,7,2,0,10,1,10095041,2,0
40,5,4,2,0,0,0,0,3,2,0,1,20,2,2,0,10,1,10095041,3,0
40,5,4,3,0,0,0,0,3,3,3,1,20,2,2,0,10,1,10095041,3,0
-1,-1,3,7,0,0,1,2,4,6,0,0,42,2,3,0,9,2,10095368,1,2
-1,-1,3,3,0,0,1,2,4,3,7,0,42,2,3,0,9,2,10095368,1,2
15,8,4,2,0,0,6,5,4,2,0,0,49,4,3,0,9,0,10095368,2,2
15,8,1,16,0,0,6,5,4,10,3,0,49,4,3,0,9,0,10095368,2,2
15,8,1,0,0,0,6,5,4,0,16,0,49,4,3,0,9,0,10095368,2,2
15,8,0,3,0,0,6,5,4,3,1,0,49,4,3,0,9,0,10095368,2,2
12,4,4,2,0,0,6,0,4,2,0,0,19,2,3,0,9,1,10095368,3,2
12,4,4,3,0,0,6,0,4,3,3,0,19,2,3,0,9,1,10095368,3,2
-1,-1,2,4,0,0,1,7,2,1,0,0,79,2,0,0,14,1,10105780,2,1
-1,-1,2,3,0,0,1,7,2,3,4,0,79,2,0,0,14,1,10105780,2,1
-1,-1,0,6,0,0,1,0,1,5,0,0,77,4,0,1,0,0,10129740,1,0
-1,-1,0,3,0,0,1,0,1,3,6,0,77,4,0,1,0,0,10129740,1,0
-1,-1,0,6,0,0,1,0,1,5,0,0,77,4,0,1,0,0,10129740,1,0
-1,-1,0,3,0,0,1,0,1,3,6,0,77,4,0,1,0,0,10129740,1,0
-1,-1,0,1,0,0,1,5,1,1,0,0,36,6,1,0,14,1,10136159,1,1
-1,-1,1,1,0,0,1,5,1,1,2,0,36,6,1,0,14,1,10136159,1,1
-1,-1,0,3,0,0,1,5,1,3,2,0,36,6,1,0,14,1,10136159,1,1
-1,-1,0,6,0,0,1,5,1,5,0,0,36,6,1,0,14,1,10136159,1,1
-1,-1,0,3,0,0,1,5,1,3,6,0,36,6,1,0,14,1,10136159,1,1
-1,-1,3,21,0,0,1,5,1,6,0,0,36,6,1,0,14,1,10136159,1,1
35,18,0,0,0,0,3,21,2,0,0,7,58,3,1,0,5,1,10137428,2,2
35,18,0,3,0,0,3,21,2,3,1,7,58,3,1,0,5,1,10137428,2,2
35,18,4,2,0,0,3,21,2,2,0,7,58,3,1,0,5,1,10137428,2,2
45,20,4,2,0,0,6,7,2,2,0,0,43,3,2,1,13,2,10141386,1,1
45,20,1,6,0,0,6,7,2,5,3,0,43,3,2,1,13,2,10141386,1,1
45,20,0,3,0,0,6,7,2,3,6,0,43,3,2,1,13,2,10141386,1,1
50,20,2,12,0,0,7,7,2,4,0,0,41,5,2,1,13,0,10141386,2,1
50,20,2,3,0,0,7,7,2,3,12,0,41,5,2,1,13,0,10141386,2,1
50,20,2,10,0,0,7,7,2,4,0,0,41,5,2,1,13,0,10141386,2,1
50,20,1,6,0,0,7,7,2,5,10,0,41,5,2,1,13,0,10141386,2,1
50,20,0,3,0,0,7,7,2,3,6,0,41,5,2,1,13,0,10141386,2,1
25,5,1,21,0,0,0,4,2,6,21,2,35,1,2,0,7,0,10146925,1,0
9,2,4,2,0,0,0,0,1,2,0,0,57,2,1,0,9,1,10150061,1,2
9,2,4,3,0,0,0,0,1,3,3,0,57,2,1,0,9,1,10150061,1,2
-1,-1,3,22,0,0,1,0,2,6,0,0,88,2,0,0,10,0,10163070,1,0
-1,-1,3,3,0,0,1,0,2,3,22,0,88,2,0,0,10,0,10163070,1,0
-1,-1,0,1,0,0,1,3,1,1,0,0,60,4,0,0,0,3,10175318,1,0
-1,-1,0,3,0,0,1,3,1,3,2,0,60,4,0,0,0,3,10175318,1,0
-1,-1,0,0,0,0,1,3,1,0,0,0,60,4,0,0,0,3,10175318,1,0
-1,-1,0,3,0,0,1,3,1,3,1,0,60,4,0,0,0,3,10175318,1,0
25,-1,4,2,0,0,5,3,4,2,0,0,43,2,2,1,12,1,10176593,1,1
25,-1,4,3,0,0,5,3,4,3,3,0,43,2,2,1,12,1,10176593,1,1
-1,-1,0,30,0,0,1,1,1,1,0,12,52,5,0,0,12,1,10177442,1,1
